Input;Output (Subject, Verb, Object For Active voices) and (Object, Verb, Subjet For Passive Voices)
The streets of ancient Rome were often filled with processions and celebrations.;[(the street, be filled with procession and celebration)]
The improvements have been a catalyst for other owners nearby to fix up their buildings.;[(owner, fix up, building)]
The Saudis always have been careful about fixing something that isn't broken.;[(the Saudis, fix, something that isn't broken)]
He wants to fix things, and he wants to be recognized.;[(he, fix, thing)]
Senate negotiators last week tried to persuade the House to at least include a fallback provision that would fix the problem in case Justice is right and the agreement is found unconstitutional.;[(Senate negotiator, fix, the problem)]
The evidence showed he had helped fix two juries, and threatened to choke to death a woman witness against him.;[(he, fix, jurie)]
Mr. Kennedy announced that the raise would fix the promise of a living wage made 50 years ago when the minimum wage was created.;[(the raise, fix, the promise of a living wage)]
Almost overnight, desperate American AIDS patients flooded Kowa with demands for the drug.;[(AIDS patient, flood, Kowa)]
"""Dog cases were flooding the court system that's flooded already,"" says Mr. Margolis, the animal behaviorist and expert witness.";[(dog case, flood, the court system)]
This year, marketers are again flooding supermarket shelves with new products—everything from Cajun popcorn to ketchup in spray cans.;[(marketer, flood, supermarket shelve)]
Smelling new money, U.S. non-profits flooded the foundations with proposals, says Hiroshi Kamura of the Japan Center for International Exchange.;[(U.S. non-profit, flood, the foundation with proposals)]
His public-relations people have flooded reporters with copies of his speeches.;[(his public-relation people, flood, reporter with copies of his speeches)]
A New York businessman got into the garbage-hauling business and quickly tried to grab customer from other carters by underbidding them.;[(the businessman, grab, customer)]
Like soap operas, the spots try to grab the viewer with heavy doses of drama and emotion.;[(the spot, grab, the viewer)]
Ardshiel, which said it seeks a friendly acquisition, won't have an easy task grabbing its target should Quaker State resist.;[(Ardshiel, grab, its target)]
Although Mrs. Aquino and Mr. Manglapus have both been more circumspect about the recent tension between Manila and Kuala Lumpur over alleged border violations, the president and her foreign secretary have been unable to restrain other officials, especially those who tend to use any opportunity to grab publicity.;[(official, grab, publicity)]
That’s why magazine executives say covers have to reach out and grab buyers.;[(magazine executive, grab, buyer)]
Compared with the titanic, gut-grabbing issues of past Democratic conventions -- civil rights, the Vietnam War -- all this is pretty pallid stuff.;[(Democratic convention, grab, issue)]
The new Clore-backed directors viewed their counterparts as stodgy pillars of the San Francisco establishment who failed to grasp KaiserTech's financial quandary.;[(director, grasp, KaiserTech's financial quandary)]
Irene Andreieva graphically illustrates how bureaucrats once controlled the clothing industry by grasping her own neck in a stranglehold.;[(Irene Andreieva, grasp, her own neck)]
Gleeful opposition leaders have been quick to grasp the irony of the protests: Monimbo was the site of one of the first major uprisings against Anastasio Somoza.;[(leader, grasp, the irony of the protest)]
As a Journal editorial writer in the 1970s, he was among the first to grasp the essentials of supply-side economics.;[(he, grasp, the essential of supply-side economics)]
He fails to properly grasp the nature of the frontier culture, and only superficially understands the dilemma of the native people.;[(he, grasp, the nature of the frontier culture)]
The editorial mentioned the deficiencies of traditional peer-review methods but failed to grasp the underlying realities that now impelled Congress to fund university projects directly.;[(the editorial, fail to grasp, the underlying realities)]
Republicans expect Mr. Bush to emulate the Reagan themes of patriotism and military strength -- or, as 41-year-old Charles Murdock puts it, to keep kicking the dog and waving the flag.;[(Mr. Bush, keep kicking, the dog)]
"I thought I did a good job and got her home,"" Dr. Gardner says, ""and they turn around and kick me in the teeth.";[(they, kick, me in the teeth)]
With their boss routinely delving into the nuts and bolts of prospective projects (he likes to kick the tires), says a colleague.;[(he, kick, the tires)]
As the Reagan administration draws chaotically to a close, policy questions that once were treated with deadly seriousness inside the government are being kicked about like toys by officials concerned only with scoring points in the Washington power game.;[(policy question, be kicked, official)]
The irony is that in 1968 Mr. Ford had ousted Mr. Miller as president of Ford -- kicking him upstairs, as vice chairman.;[(Mr. Ford, kick, him)]
C-Span's call-in shows had a separate number for international calls, and the signal was being kicked back to Europe via satellite.;[(the signal, be kicked back)]
In any event, Mr. Dhlomo understands better than do most U.S. congressmen that if the South African economy is destroyed by sanctions, so, too, will be the prospects for revolutionary, or even evolutionary, change.;[(the South African economy, be destroyed, sanction)]
Another option will be to try to curb the growth in education and other local assistance, which absorbs 66% of the state’s budget.;[(the state, absorb, the state’s budget)]
R.J. Reynolds Tobacco Co. has been a rich, fat operation, which absorbed 400 people from the old corporate headquarters staff with hardly a burp.;[(Company, absorb, people)]
Taxes can’t keep rising faster than the incomes of taxpayers, or the government would absorb an ever-increasing share of private incomes, destroying incentives.;[(the government, absorb, income)]
"In the years since 1853, when 4,058 steamboats arrived at the Cincinnati waterfront loaded with ""foreign"" people and exotic merchandise, Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag.";[(Cincinnati resident, absorb, chili and pizza and wonton and dirty rice)]
"Chrysler says it will absorb the costs of making air bags standard equipment until at least 1990; it won't say how high it will push prices when it eventually does start charging for the feature.";[(Chrysler, absorb, the cost)]
And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman, hot to debunk, attacks his subject.;[(Mr. Goldman, attack, his subject)]
A Bright Shining Lie will be attacked by those who have trimmed their judgments to this decade's prevailing winds.;[(A Bright Shining Lie, be attacked, those who trimmed their judgments)]
The approach is raising eyebrows in the cigarette industry, which generally refrains from attacking the competition by name.;[(the cigarette industry, refrain from attacking, the competition by name)]
Their report, to be published here Saturday in the Lancet, a leading British medical journal, immediately was attacked by some radiation specialists as too optimistic.;[(the report, be attacked, radiation specialist)]
On the stage, looking tired from ceaseless concertizing at just about every summer festival there is, Vladimir Feltsman attacked his recital program with typical confidence and power.;[(Vladimir Feltsman, attack, his recital program)]
Newsletters are one way direct-marketed funds can attack this.;[(newsletter, attack, this)]
Bush adds two women aides to address women's issues and plans a big push on child care, stressing a menu of choices for parents while attacking Democrats for pushing big-government solutions.;[(Bush, attack, Democrat)]
In fact, they were fulfilling the old prediction of Karl Marx that capitalism would be destroyed by its own contradictions.;[(capitalism, be destroyed, its own contradiction)]
Tennis Lady said that after the sale it expects to dissolve the company or invest in new businesses.;[(Tennis Lady, dissolve, the company)]
He also can dissolve the National Assembly if so advised by the prime minister.;[(he, dissolve, the National Assembly)]
The lower court had enjoined the effect of its decision, pending the appeal, but the appeals court dissolved the injunction.;[(the appeals court, dissolve, the injunction)]
A state district-court judge dissolved a temporary restraining order against the acquisition.;[(a judge, dissolve, a restraining order against the acquisition)]
Big technology stocks, hit hard by yesterday's downturn on Wall Street, dragged down the main over-the-counter market indicators.;[(big technology stock, drag down, the main over-the-counter market indicator)]
The oil-service business has been dragging the company's stock price down since the oil industry peaked in 1981.;[(the oil-service business, be draged down, the company's stock price)]
And while profits are booming at Capital Cities' TV stations, ABC's loss dragged down the broadcast group.;[(ABC's loss, drag down, the broadcast group)]
The Japanese government is still reeling from U.S. accusations last summer that MITI dragged its feet in investigating the shipment by the Toshiba unit, Toshiba Machine Co., of sophisticated milling machines to a Soviet shipyard in 1983 and 1984.;[(MITI, drag, its feet)]
That implies production slowdowns, which could result in job losses and weaker consumer spending, which in turn would cause the economy to drag its heels further.;[(the economy, drag, its heel)]
Things are really rapidly falling into place, said a Navy official who previously had complained that the Pentagon brass was dragging its feet on the project.;[(the Pentagon brass, drag, its feet on the project)]
Johnson was then moved in other conversational directions, but the conclusion of his thought was clear: It's tough to move fast when you're dragging a tree.;[(he, drag, a tree)]
It began to drag us into it, says Richard Behar, the 27-year-old magazine writer who founded the group.;[(it, drag, us)]
Rawls and Nozick, it was the politicians who dragged the philosophers into public debate.;[(the politician, drag, the philosopher into public debate)]
For years, he said, Cuba escaped United Nations censure or even scrutiny.;[(Cuba, escape, United Nations censure or even scrutiny)]
The catastrophic illness health-care bill approved by Congress yesterday will fill some major gaps in Medicare coverage for the elderly.;[(the catastrophic illness health-care bill, fill, gap in Medicare coverage)]
Last year the movies were filled with babies.;[(the movie, be filled, baby)]
American life being filled with headaches, aspirin began to catch on.;[(American life, be filled, headache)]
While filling movie houses and exciting donors are both honorable tasks, the facts don't support the histrionics.;[(the fact, support, the histrionics)]
Conceivably, either the Federal Land Bank of Columbia, S.C., or the Federal Land Bank of Texas, based in Austin, or both, could extend their operations to fill the lending void after the liquidation, said Mr. Naylor, the system's chief regulator.;[(Bank, fill, the lending void)]
Agency officials said that it could be weeks before Mr. Meese can announce his choice to fill the deputy attorney general's spot and that the work of the department's top budgetary group -- previously headed by the deputy -- has come to a near standstill.;[(Agency official, fill, the deputy attorney general's spot)]
Two executive vice presidents resigned from First Chicago Corp. to take other jobs, and the banking concern shifted some officers to fill the vacancies.;[(the banking concern, fill, the vacancy)]
It's admirable to strive to lead a life filled with moral significance, though less so to call repeated public attention to the effort.;[(a life, fill, moral significance)]
They are filled with ideas, if often of a weird sort, and they don't know how to run anything.;[(They, be filled, idea)]
The indictment alleges that Ms. Myerson gave Justice Gabel's daughter a $19,000-a-year city job in exchange for fixing Mr. Capasso's 1985 divorce case.;[(Ms. Myerson, fix, Mr. Capasso's 1985 divorce case)]
Investors, analysts and members of the local banking community generally view Mr. Hillas as an able manager with a solid knowledge of the capital markets, a keen eye for evaluating banking companies and their businesses, and a knack for helping fix ailing firms.;[(Mr. Hillas, fix, ailing firm)]
"But Securities and Exchange Commissioner Joseph Grundfest said, ""This isn't in and of itself going to fix the market's problems.""";[(Joseph Grundfest, fix, the market's problem)]
As a longtime trade-association executive in the petroleum industry, I have seen scores of upper-level managers grab the brass ring of early retirement.;[(manager, grab, the brass ring of early retirement)]
Difficult as it was, young Miss Mills managed to grab some of the spotlight from her Papa Bear mentor.;[( Miss Mills, grab, some of the spotlight from her Papa Bear mentor)]
