Tuple SVO,Sentence
[],"But to win , he donated $ 18 , 000 of his personal savings and lent his campaign $ 107 , 000 more."
[],"Since the international debt crisis erupted in 1982 , banks have been increasingly reluctant to lend to Latin American countries."
[],"But few , if any , have guidelines against lending to offshore entities that are South African-controlled or that have a significant South African minority interest ."
[],And only 20 % reported that their customers lent them engineers to supplement their own technical expertise.
[],"Changes in Florida Federal 's rate on its Liquidity Plus money market account are linked to a seven-day average for the federal funds rate , which is the rate on reserves that banks lend one another overnight ."
[],"The rate on funds , or reserves that banks lend each other overnight , has been hovering between about 8 % and 8.14 % recently ."
[],"Mr. Hopfield , known mainly for his work on neural networks , believes that electronically controllable polymers may lend themselves to the complicated wiring of neural networks ."
[],"The thrift will be able to lend 10 % of its assets , or about $ 1.5 billion , to the merchant bank , officials said ."
[],"He says he lent $ 13 , 000 to Victor Cohen , a friend of Mr. Galvin 's and an Air Force assistant secretary whose phone was tapped by federal investigators ."
[],"The rate on Federal funds , or reserves banks lend one another overnight , could climb above 8 % by tomorrow from just under 7 3 4 % , he said."
[],The rest would go to more than 30 international banks that lent the National Bank money before it was seized and closed by Brunei in November 1986.
[],"James D. Harper Jr . , a big Chicago investor and former real estate lending chief at Continental Illinois Corp . , said he lent hundreds of millions of dollars to Mr. Zell over the years , it was always repaid , and that Mr. Zell nearly always made out well ."
[],No bank would lend him money .
[],"AMR Corp. 's American Airlines agreed to lend Braniff Inc . , Dallas , as much as $ 21 million , and also purchase certain Braniff assets for as much as $ 23 million , according to documents filed with the Securities and Exchange Commission."
[],We lend to the rich to improve their quality of life.
[],"The U.S. Export-Import Bank could assist the Polish transaction , but it 's legally forbidden to lend funds to Romania."
[],"About 165 , 000 pieces had been lent to government offices and embassies around the world , and many never came back , he said."
[],But bankers that lend to farmers suddenly are worrying anew about their borrower 's financial health.
[],"Earlier in the month , the rate on reserves that banks lend each other overnight was averaging around 7.38 %."
[],Mr. Camdessus said it was clearly in banks ' own interest to lend more and `` strengthen the value of -LRB- their -RRB- existing loan claims.
"['hot weather', 'melt away', 'him']","`` The hot weather just about melted him away , '' Mr. Corbett says with a sigh ."
"['the surplus', 'melt away', 'to zero']","The problem it would confront is those last decades -LRB- 2030-2050 -RRB- of the scenario , when the surplus melts away to zero ."
"['rebel band', 'melt into', 'the hills']","On one occasion , intelligence sources say , a rebel band took its Stingers to the Soviet air base at Qandahar , set up shop not far from the end of the runway , blasted a few Soviet planes as they tried to take off laden with fuel and ammunition , then melted into the hills ."
"['Supreme Court', 'melt down', 'my statue']",But the Supreme Court melted down my statue when it decided Hazelwood .
"['littlest cast member with the big voice', 'to melt', 'the heart of one lucky patron']","Unself-consciously , the littlest cast member with the big voice steps into the audience in one number to open her wide cat-eyes and throat to melt the heart of one lucky patron each night ."
"['debt cone', 'melt down', 'once consumers']",He talks of a `` debt cone '' that will melt down once consumers and businesses realize it does n't pay to borrow at high real interest rates to buy assets whose values are n't rising as fast as they were .
"['the Supreme Court', 'melt down', 'my statue']",But the Supreme Court melted down my statue when it decided Hazelwood.
"['Pounds', 'melt off']","Pounds have melted off , she says , during the months of one-night stands."
"['The impact of her crash coup', 'melt away']",The impact of her crash coup is melting away as her fund has trailed the market consistently.
"['Support for the shipyard strike', 'melt away']",Support for the shipyard strike began melting away when workers across Poland ignored Solidarity 's call for sympathy stoppages.
"['the young hunter's golden retriever', 'melt', 'in and out of sight']","The father and grown son walked slowly , their long , ebony shadows in sharp contrast against the tawny strips of switch grass , as the young hunter 's golden retriever melted in and out of sight in front of them."
[],"Unable to buy gold , he bought jewelry items cheap at government retail stores , melted them down and fashioned them into stylish items sold at a markup on the black market ."
[],Mr. Phillips said the bars would `` melt for about half '' of their auction price .
[],"In a joint venture with a Japanese company this fall , Nucor Corp. of Charlotte will start melting steel in a new 500-worker I-beam mill at Blytheville , Ark . , on the Mississippi."
[],"It was a white New Year in Moscow , but by the time Christmas rolled around last week , unusually high temperatures , in the 30s and 40s day and night , had melted the snow away , leaving streets and sidewalks coated with mud and puddles ."
[],"`` This is the kind of junk we can't even melt into other garbage, '' says a major coin wholesaler who asked to remain anonymous because he has sold other coins under the auspices of the Marshall Islands."
[],Tens of thousands were melted down for scrap metal right after the war .
[],The reasoning was that containers composed of more than one plastic can't be melted down and remade into the same types of containers .
[],"The SEC suit alleges that the stock , which was unregistered , climbed to as high as $ 17 a share as a result of the claims , which were bolstered when Mr. Brown bought 209 ounces of gold, which was melted into four pieces and displayed to shareholders at an August 1987 meeting ."
[],"Engineers at General Binding , in Northbrook , Ill . , devised a method that melts the adhesive by sending a low-voltage current into the cover itself , resulting in a smaller and less expensive unit ."
[],"It held open houses for prospective investors at the mine , where large amounts of rock were dug and ground up , filtered and washed , then melted in a furnace and `` poured into what were represented to be precious-metal blocks , shaped like pyramids , '' according to the criminal indictment filed against Mr. Barbara and four others in state court in Las Cruces , N.M."
[],"But mindful of Daedalus 's brash son , Icarus , who flew too close to the sun , melted his wings and fell fatally to the sea , they carefully avoid hubris ."
[],"Chaparral is a mini-mill only in the sense that it melts scrap in electric furnaces , a type of operation that has made steady headway in the U.S. as the huge facilities that employ coke and iron ore and the traditional blast furnaces have declined ."
[],The villagers -LRB- using dynamite purchased with His Highness 's money -RRB- channeled melting mountain snow -- the only water available in this high desert -- to previously arid land.
[],Atlantic currently has melting and casting operations at both sites .
[],Mr. Martineau also says the tractors reflect another Russian approach to manufacturing: `` You could melt down one Belarus and make three American tractors with the amount of metal the Russians have put in it'' he says.
[],"It held open houses for prospective investors at the mine , where large amounts of rock were dug and ground up , filtered and washed , then melted in a furnace and poured into what were represented to be precious-metal blocks , shaped like pyramids, according to the criminal indictment filed against Mr. Barbara and four others in state court in Las Cruces , N.M."
[],The villagers using dynamite purchased with His Highness 's money channeled melting mountain snow -- the only water available in this high desert -- to previously arid land .
[],"Thanks to a new formula and colder dispensing equipment , Twistee Treat Corp. says its cones can be held for 12 minutes before starting to melt , twice as long as other brands."
[],"The fires, Ford said, could be caused by a nylon wiring shield that could melt and drip onto the engine 's hot exhaust manifold,  resulting in an engine compartment fire."
"['letter to the editor', 'miss', 'important point']",Susan W. Peters 's Aug. 26 letter to the editor concerning the qualifications of business-school professors misses an important point .
"['She', 'miss', 'a promotion']","She works doggedly at her job in the garment industry , yet when she misses a promotion she 'd hoped for , she `` borrows '' two dresses from the showroom and takes her best friend dancing ."
"['The U.S.', 'miss', 'big boat']","`` The U.S. could miss the boat if they play politics at the ADB and do n't put up the bucks , '' says an ADB executive who declined to be identified ."
"['institutional investors', 'miss', 'the boat']","`` A lot of the institutional investors that have missed the boat might want to take the opportunity to get in now , '' he said ."
"['they', 'miss', 'the whole point']","`` Of course , you look at some of the women competing today , and they 've missed the whole point ."
"['every scene', 'be missing', 'something']",Nearly every scene seems to be missing something .
[],"` Ray Shaw is an exceptionally talented newsman and business executive and definitely will be missed, '' Mr. Phillips said ."
[],"Virginia Belden , who sells vacuum cleaners and sewing machines at the Towne East store , however , frets that some shoppers might miss the thrill of getting a bargain ."
[],I don't miss it at all .
[],"Thus , the conventional antibody test misses an unknown segment of AIDS-infected people ."
[],Mr. Knight and others criticize the service for helping students miss classes .
[],Other people love Acapulco -- and don't miss Frank Sinatra .
[],"Monitrend Mutual Value , based in Nashville , Tenn . , went to a 100 % cash position in August and missed the recent stock market uptick."
[],"He will always be our good friend , and I will miss him ."
[],Part of the drop was attributed to the lessening severity of Hurricane Gilbert and expectations it would miss major U.S. oil facilities .
[],"While the Olympics are evoking thoughts of ancient Greece , don't miss these new productions of the tragedies of Sophocles -- `` Oedipus the King , '' `` Oedipus at Colonus '' and `` Antigone ."
[],"Coincidentally or not , this meant that Sen. Quayle also would miss a scheduled joint appearance with the vice president today in Chicago at the meeting of the Veterans of Foreign Wars ."
[],I 've missed 'em .
[],"Although his colleagues were n't eager to satisfy him , they were even less eager to miss their flights home and a weekend of campaigning ."
[],"Blacks who have quit white-run businesses say they don't miss insults from whites who often did n't even realize they were insulting , or the edginess on the part of whites uncomfortable around blacks ."
[],"Regular fans of this long-lived TV news magazine will not want to miss its 10th anniversary retrospective show , featuring excerpts from Barbara Walters 's interviews with Richard Nixon , Edwin Meese and James Brady ; reports on AIDS and Agent Orange ; and profiles of Barbra Streisand , Katharine Hepburn and Andrew Lloyd Webber ."
[],"This year , one from Lancaster , Pa . , bought a lamp and took it home on the plane . -LRB- Irv Blumkin , Ron 's brother , drove the shareholder to the airport after he lingered too long in the store and missed his bus."
[],It really is a shame the famous old astrologer and Reagan friend Carroll Righter died last week and missed all this .
[],"If the New Orleans Public Service unit misses payment of four consecutive dividends , preferred holders could take control of the company ."
[],"When he discovers they 're celebrating the sale of a property , he rudely begins to berate the older executive , in front of all , for not giving him a fair chance , only to find out he missed a telephone message ."
"['let us ',' not pass over', 'thousands of pages']","We should not deny the existence of abhorrent passages , but let us not pass over thousands of pages embodying tolerance , forgiveness and allembracing harmony , such as in `` The Brothers Karamazov '' and many others , and Dostoevsky 's speech commemorating the death of Pushkin in which he urged Russian national universality ."
"['another time bomb', 'be planted', 'by Pillsbury's management']","Grand Met 's letter describes the spinoff plan as `` another time bomb , planted by Pillsbury 's management , to deter the acquisition of the company by Grand Met or any other party."
"['a stick of dynamite' , 'be planted']","Last week , after a team had gone through its paces , one of the handlers forgot to remove a stick of dynamite that had been planted in the suitcase ."
"['Some mines', 'be planted', 'by the U.S.-back guerrillas']",Some mines were planted by the U.S.-backed guerrillas themselves .
"['the moles', 'plant', 'a micromanagement time bomb']","The moles were just doing what comes naturally , planting a micromanagement time bomb in another massive piece of legislation ."
"['citizens', 'plant', 'a fire-engine-red Scottish phone booth']",Capitalizing on their heritage -- the town 's name derives from the Scottish birthplace of poet Robert Burns -- citizens imported a fire-engine-red Scottish phone booth and planted it in the courthouse square .
"['the spirit of a united Europe', 'be planted']",Is there any chance that the spirit of a united Europe can be planted beyond the Oder-Neisse Line ? - Metaphorical
[],"But David Lett was a visionary , and in 1966 he planted pinot noir in the red hills near Dundee ."
[],"After the close of trading , however , a National Weather Service official said the heaviest rains and strongest winds are expected today only in southwest Louisiana , where almost half of the state 's soybeans are planted ."
[],"Mr. Hane , the Fort Motte farmer , planted only 250 acres in soybeans this spring , just one-third as much as six years ago ."
[],Farmers have planted pine trees on many former soybean fields under a government program that pays them $ 45 an acre each year to idle land .
[],"Because of sharp drops in grain stockpiles , the department is likely to allow farmers to plant more acreage next year ."
[],"The South 's overall softwood growth of 5.7 billion cubic feet annually could be increased by 2.1 billion cubic feet by planting pine on 22 million acres of marginal crop land and pasture , the study says ."
[],"The action began a few months ago when Fred Carr , First Executive 's chairman , moved to spruce up the lot by planting some grass ."
[],"Also , many farmers have planted soybeans amid their ruined wheat crop , possibly bolstering production ."
[],"Currently , if they don't plant an allotted percentage of their so-called crop base with subsidized crops , the government penalizes them the next year by reducing the size of their base , thus cutting their subsidy payments ."
[],"The moshav didn't plant melons this winter , opting instead for crops such as cotton and wheat that can be harvested by machine ."
[],"Most analysts expect farmers to plant 66.7 million to 70 million acres , up from 65.7 million acres last year ."
[],"However , new-crop beans -- to be planted this spring -- were up on continued expectations that this year 's planted acreage wo n't exceed last year 's by much , analysts said ."
[],"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes ."
[],"They sell their fruit , save the money , and borrow against it to plant more trees ."
[],"Farmers in Kansas , the No. 1 wheat-producing state , planted 10.2 million acres , the smallest since 1971 ."
[],"You have to plant it when it 's small , and wait for it to grow."
[],Russians planted the first trees in 1805 near the eastern Aleutian village of Unalaska ; a few survive and enjoy National Historic Landmark status .
[],"Whalers , traders and missionaries planted seedlings at settlements scattered along the chain ."
"['Mr. Marchese', 'play', 'a small role']","At his sentencing , Mr. Marchese and his court-appointed lawyer , John J. Byrnes , complained that Mr. Marchese played a small role in the larger tax-shelter conspiracy orchestrated by Mr. Galanis ."
"['Mrs. Bush', 'play', 'an important role']","Mrs. Bush , who disdains what she calls fake public displays of affection by the Dukakises , also will play an important role in her husband 's campaign ."
"['government officials', 'play', 'an aggressive role']",FMC officials long have complained that government officials in those countries play an aggressive role in marketing their industries ' war machinery .
"['new ads', 'play down', 'the dog']","But soon new ads will play down the dog even further and display a metal `` G , '' Greyhound 's stock symbol , coming out of a foundry ."
"['Major retailers', 'play', 'competing manufacturers']","Major retailers have become very good at playing competing manufacturers against one another to obtain free display fixtures , cooperative advertising , extended payment terms and other concessions , as well as price discounts , he said ."
"['Vice President Bush's campaign', 'play', 'a part in the disclosures']","As voters trooped to the polls and caucus locations in the Northern Plains , Mr. Robertson accused Vice President Bush 's campaign of playing a part in the disclosures about the sex life of television evangelist Jimmy Swaggart ."
"['children', 'play', 'soccer']",Mr. Gorbachev has complained that children play soccer with loaves of bread because they 're so cheap .
"['a piece', 'be played']",Publisher Thomas Valentino complains BMI paid him just $ 12 when a piece he handled was played on the nationally syndicated program `` Lifestyles of the Rich and Famous .
"['Karen Stern', 'play', 'the harp']",Karen Stern has played the harp surrounded by ice sculptures at a restaurant and as part of the display for a three-foot-high cake at a pastry competition .
"['the Shihs', 'plow', 'profits']","The downtown shop alone is grossing more than $ 1 million a year now , but the Shihs take salaries of only about $ 2 , 000 a month each from their business , plowing profits back into their drive to become the McDonald 's of the flower game ."
"['Countless marginal players', 'plow', 'their money']",Countless marginal players -- individuals who plowed their money into foreign mutual funds and new institutional entrants seeking a quick killing overseas -- have disappeared .
"['Most Africans governments', 'plow', 'hunting revenues']",Most African governments pay lip service but not much else to the principle of plowing those hunting revenues back into the rural communities .
"['S&L managers', 'plow', 'money']","Texas is indeed the most dramatic and scandalous example of S & L managers plowing money into dubious projects , often with less than an arms-length relationship with developers and totally unrealistic estimates of the potential income streams of the commercial and residential buildings they were financing ."
"['company', 'plow', 'money']","Mr. Williams thus launched a divestiture binge that ended only last year , ultimately raising more than $ 1.2 billion in cash -- money that the company plowed not only into reducing debt and upgrading its its natural-gas pipelines , but also into transforming old pipelines into new telephone lines ."
"['Quantum', 'plow', 'resources']",The expansion is further evidence of Quantum 's intent to plow resources into its basic chemical operations now that it has made its exit from the wine and spirits business ./.
"['Drexel', 'plow', 'more money']","As a result , Drexel is plowing more money into leveraged buy-outs , employee buy-outs and other friendly transactions ./."
"['Peter Gay', 'plow', 'a furrow']","In retelling the story of Freud 's life and work , Peter Gay plows a furrow already dug deep by many previous Freud biographers and historians of psychoanalysis ./."
"['The Air Florida pilots', 'plow', 'their plane']","The Air Florida pilots cursed for posterity on the cockpit recorder , decided to take off even though they knew the wings of the plane were dangerously icy , and plowed their plane into a bridge ."
"['He', 'plow', 'his freight train']","He was tested for drugs after running a stop signal and plowing his freight train into a passenger train , killing 16 people ."
[],"Field stone , generally rounder , is hard to come by because much is already in old stone walls , and few farmers are plowing new fields ."
[],Foreign farmers are fast plowing new acreage for soybeans to meet demand around the world .
[],"He plowed afoot behind a mule , picked cotton and hoed peanuts ."
[],"In late June , for example , a group that included Teddy Roosevelt 's great-great-granddaughter stood down some bulldozers trying to plow a road through a moor near the island village of Siasconset ."
[],"Morally repugnant and economically absurd , the scheme would knock over homes and churches , plow up cemeteries and herd the residents into `` urban agro-industrial complexes ."
[],Most land being farmed by FmHA borrowers would be plowed regardless of whether the FmHA ever existed .
[],"`` We 've been plowing a lot of new furrows , '' says Richard Burket of Archer-Daniels-Midland Co . , Decatur , Ill ."
[],Later they were burned as railroad fuel and plowed under as fertilizer .
[],"He said the legislation should n't be so generous as to induce any farmers to plow under their crops , and should n't `` bust the budget ."
[],But sometimes there is a loosening of former rigidities: The communists once declared golf a capitalist evil and plowed up courses to plant crops .
[],"The speculation centers on whether some farmers would plow under their wheat crop , some of which is nearing harvest , to make the switch in time to grow soybeans , said Richard Loewy , senior grain and oilseed analyst at Prudential-Bache Securities Inc . , New York ."
"['manufacturers', 'pour', 'more money']","As manufacturers get bigger , they are likely to pour more money into the battle for shelf space , raising the ante for new players ."
"['Deutsche Bank', 'pour', 'some $1.9 billion of aid']",This at a time when Germany is already leading a new rush to subsidize perestroika -- last week Deutsche Bank closed an agreement to pour some $ 1.9 billion of aid into Moscow 's bottomless coffers .
"['More than $5 million', 'be poured']","More than $ 5 million is being poured into this year 's campaign , political insiders estimate , making it a hugely expensive municipal debate ."
"['Cold water', 'be poured']","`` Cold water has been poured on the market and any advance has been stopped dead in its tracks , '' one dealer said ."
"['Securities firms and banks', 'pour', 'money']",Securities firms and banks have long poured money into the coffers of state and local officials to improve their chances of getting municipal finance business .
"['I', 'pour', 'water']","Re your page-one story `` To Mark Year 2000 , Some Events Will Be Out of This World , '' June 27: I 'd hate to pour water on anybody 's millennial observance , but 2000 is the last year of the 20th century ."
"['Drexel', 'pour', 'far more resources']","In recent years , Drexel has poured far more resources into areas such as high-yield , `` junk '' bonds , merger and acquisition advice and mortgage-backed securities ."
"['the administration', 'pour', 'vast sums']",NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while pouring vast sums into the Pentagon .
"['China', 'pour', 'tens of thousands of dollars']","China poured tens of thousands of dollars into producing the country 's first batch of U.S.-trained M.B.A.s , including Mr. Wang ."
"['It', 'pour', 'toilet paper']",It pours toilet paper in parts of Michigan .
"['pour', 'more aid']",Simply pouring more aid into this environment will breed more state-subsidized projects to compete with the private sector and a bigger bureaucracy to administer the projects .
[],They poured gasoline over the pile and set it on fire .
[],"It 's little wonder , then , that Susan has taken to escaping into the company of her delightfully charming , exceedingly attractive , immensely rich fantasy family: an adoring husband , a devoted daughter and a frothy younger brother whose only occupation in life is to pour yet another round of champagne -- `` champers , '' as he prefers to call it -- for the four of them ."
[],"Public anger reached its zenith April 30 , 1982 , when angry mobs stopped three taxis bearing margis , dragged them from their cars , bludgeoned and poured acid on them and finally burned them to death ."
[],"When Mr. Corbett poured molasses on Chief 's feed to make it more appealing , the bored hog merely licked off the syrup ."
[],"The celebration is a rambunctious countrystyle baptism on a central highlands cattle ranch , with serenading mariachis , swaggering cowboys , and white-jacketed waiters pouring tequila like water ."
[],"At state dinners , the president pours wine for his guests , but in adherence to Islam never touches a drop himself ."
[],"` Do you know what democracy means ? '' he says , pouring a glass of my Orangina ."
[],"As each diver plunges into a cage , Mr. Roessler pours a smelly dipper of chum on top of him: the initiation rite ."
[],Custom demands that cognac be poured from a freshly opened bottle .
[],"At the Pavilion , Mr. Worthington pours a last glass ."
[],"As we watch everybody eat -- Dan pouring rather a lot of salt on his chicken salad and from the looks of it , running out of banter -- a local pollster makes conversation with the press ."
[],`` She 's only had the chance to practice her conviction politics because the other side has been pouring paraffin over themselves and putting matches to it in front of the television cameras at routine intervals .
[],The leak and pump problems developed Friday soon after technicians began pouring more than half a million gallons of liquid hydrogen and liquid oxygen propellant into the spaceship 's external fuel tank on Launch Pad 39B .
[],"They are pouring lots of free drinks , especially champagne and liqueurs , at art events in Los Angeles and New York ."
[],"Here Mr. Brown plays barkeep mentor to Mr. Cruise , the wise old hand who teaches the pup how to succeed at the high-stakes game of pouring brew ."
"['Japanese inverstors', 'pump', '$190 million']",Japanese investors pumped in $ 190 million in this year 's first half .
"['Philip Morris', 'pump', 'new life']",Philip Morris could be forced to deal with the same problems it has struggled with at General Foods -- pumping new life into old products .
"['He', 'pump', 'new life']","Credited with pumping new life into tired food brands , he is a lure for any potential acquirer , and is a likely candidate of Philip Morris to lead its lackluster General Foods businesses ."
"['London', 'pump', 'more than twice as much money']","London , freed from foreign-exchange controls in 1979 , has become a world financial center , pumping more than twice as much money into the country now as North Sea oil ."
"['France's Socialist government', 'pump', '12 billion francs -LRB- $1.88 billion']","France 's Socialist government resurrected the previous government 's plan to pump 12 billion francs -LRB- $ 1.88 billion -RRB- into state-owned auto maker Regie Nationale des Usines Renault , a move that may raise hackles in the European Community ."
