Wer hat ihn politisch in Urlaub geschickt? ; [(in Urlaub, schicken)]
Die Hollywoodproduktion «Everest» zeichnet nun das Unglück an jenem Tag nach. ; [(nachzeichnen, Unglück)]
Beide untermauern die russische Staatlichkeit. ; [(untermauern, Staatlichkeit)]
Letztere konnte den Preis- und Margendruck bislang relativ gut wegstecken, indem sie sich mehr und mehr auf die ergiebigsten Quellen konzentrierte und die Effizienz ihrer Fördertechniken noch einmal deutlich steigerte. ; [(Preis- und Margendruck, wegstecken)]
Die Fernsehserie wird sich um Lucifer drehen, der unglücklich als Herrscher über die Hölle der Langeweile überdrüssig ist. ; [(Fernsehserie, sich, um Lucifer, drehen)]
«Wir gehen davon aus, dass ein Teil dieser Jugendlichen das Potenzial hat, im ersten Arbeitsmarkt Fuss zu fassen», sagt Stefan Ritler, Vizedirektor beim Bundesamt für Sozialversicherungen (BSV). ; [(Fuß, fassen)]
Die Kosten dafür, 3700 Euro, tragen die Arbeitgeber. ; [(Kosten, tragen)]
Irgendwann muss man doch einsehen den Kürzeren gezogen zu haben! ; [(Kürzerer, ziehen)]
Bremen hingegen steckt mittendrin im Abstiegskampf der Liga. ; [(stecken, in Abstiegskampf)]
Wir haben aber nicht das Gefühl, dass wir unsere Hemden mit den Nächsten teilen sollten. ; [(unser Hemd, teilen)]
Weiß auch nicht woran's liegt, aber Sport Spiele treiben mich auch immer wesentlich mehr zur Weißglut als es Call of Duty mit den ganzen unfairen Killstreaks je könnte. ; [(treiben, mich, zu Weißglut)]
Diese Verordnung wurde wohl von Nestle und Co angestossen. ; [(Verordnung, anstoßen)]
Eine Beamtin der Kripo Wittlich: „Wie haben alle Möglichkeiten ausgeschöpft.“ ; [(Möglichkeit, ausschöpfen)]
Seit einiger Zeit bastelt die Bank an ihrem zweiten Leben. ; [(basteln, Bank, an zweit Leben)]
Auch beim Geld stößt die koalitionäre Harmonie schnell an ihre Grenzen. ; [(stoßen, Harmonie, an Grenze)]
Das Ganze noch mit Live Band und Gesang gewürzt und fertig ist eine rundum gelungene Inszenierung für Jung und Alt mit viel Raum zum Lachen. ; [(mit Live Band und Gesang, würzen)]
"Ich hatte leider meinen Kopf nicht frei, musste dauernd über das Missgeschick von Fabian nachdenken", sagte der zwölfmalige Österreichische Rallye-Staatsmeister. ;  [(haben, frei, Kopf)]
Wie wäre es, wenn Sie sich eine kleine Freiheit herausnehmen? ; [(sich, Freiheit, herausnehmen)]
Wir können Gesetze gegen Diskriminierung am Arbeitsplatz erlassen , aber wir können keine Gesetze gegen die Belastung erlassen , Arbeit , Familie und Haushalt unter einen Hut bringen zu müssen . ; [(Arbeit Familie und Haushalt, unter Hut, bringen müssen)]
Ich plane derzeit keinen Besuch vor Ort , aber wir verfolgen die Vorgänge im Lande sehr aufmerksam . ;[(verfolgen, Vorgang)]
Die Verifizierung nun ist eine weitere Sache , die mit den Mitgliedstaaten geklärt werden muss , denn auch sie tragen Schuld . ; [(Sache, klären), (tragen, Schuld)]
Das Vereinigte Königreich hat den Beweis dafür geliefert , wie freie Arbeitsmärkte , verbunden mit einem angemessenen Sozialschutz , eine florierende Wirtschaft ankurbeln können . ;[(Wirtschaft, ankurbeln)]
Die Aussprache über diesen Tagesordnungspunkt ist geschlossen . ;[(Aussprache, schließen)]
Vor kurzem wurde die Idee aufgeworfen , im Rahmen der Arabischen Liga einen Libanon-Gipfel zu veranstalten .; [(Idee, aufwerfen)]
Keine Nation sollte das Geld ihrer Steuerzahler in ein korruptes System stecken . ; [(Geld, in System, stecken)]
Wenn wir diesen wichtigen Punkt nicht begreifen , zerstören wir uns selbst , enterben unsere Kinder und verraten Europa und unsere Heimatländer . ; [(Punkt, begreifen)]
Der neue Konvent sollte außerdem aufgefordert werden , die starre Verbindung zwischen dem ersten , zweiten und dritten Teil aufzulösen und eine angemessene Rangfolge zwischen diesen Teilen herzustellen , damit deutlich gemacht wird , dass die Politiken in Teil III Teil I ergänzen sollen . ; [(Verbindung, auflösen)]
Es spricht nichts gegen einen selbstkritischen Blick jeder einzelnen Institution , um herauszufinden , welche Angelegenheiten am dringlichsten in Angriff genommen werden müssen , wie die Gesetzgebung verbessert und den Menschen nahe gebracht werden kann . ; [(sprechen, nichts, gegen Blick), (Angelegenheit, in Angriff, nehmen)]
Wir sollten also sicherstellen , dass dieses Fundament zum Wohle Europas nicht ins Wanken gerät und dass das nach wie vor fragile Gefüge auf dem Balkan nicht vor unseren Augen und in unserer direkten Nachbarschaft in sich zusammenbricht ! ; [(Fundament, in Wanken, geraten)] 
Wir in der EU wissen , wie viel mehr wir durch Zusammenlegen unserer Ressourcen und Festlegung gemeinsamer Standards sowie durch gemeinsames Anpacken der Umweltprobleme mit grenzüberschreitenden Auswirkungen erreichen können .; [(Anpacken, Umweltproblem)]
Im Vereinigten Königreich schürte die vergangene konservative Regierung erhebliche Zweifel daran , ob der Euro tatsächlich eingeführt werden würde oder nicht . ; [(schüren, Zweifel)]
Es ist auch klar , dass Europa die Mittel für eine europäische Verteidigungsidentität nicht hat : Wir können ohne die Unterstützung der Amerikaner oder der NATO keine Militäraktion auf die Beine stellen .; [(Militäraktion, auf Beine, stellen)]
Aber und das ist ein entscheidender Punkt , den sie nicht erwähnt hat , es wird der Industrie und jedem Beteiligten Gelegenheit geben , das Problem auf breiter Front in Angriff zu nehmen , denn wir wissen , dass lediglich flexiblere Fahrzeugfronten bei einem Zusammenprall eine sekundäre Option sind . ; [(Problem, in Angriff, nehmen)]
Was den politischen Dialog betrifft , so soll mit diesen Abkommen ein großer Themenbereich abgedeckt werden , beispielsweise der Klimawandel , Energie , Migration und der Kampf gegen Drogen . ; [(Themenbereich, abdecken)]
Die tragischen Ereignisse in New York , Washington und Pennsylvania am 11 . September haben zweifellos das Vertrauen in die Wirtschaft weiter erschüttert . ;[(Vertrauen, erschüttern)]
Die Wirtschaft von Bosnien-Herzegowina ist in einer ernsten Lage , und es ist klar , dass ein Weg aus dieser Krise herausgefunden werden muss . ; [(Weg aus Krise, herausfinden)]
Im Juni billigten 150 Länder eine globale UN-Strategie zur Bekämpfung des weltweiten Drogenproblems . ; [(Bekämpfung, Drogenproblem)]
Wenn man diese Probleme in den Griff bekommt , kann die Aquakultur , wie gesagt , eine gute Quelle guter Lebensmittel für unsere Bevölkerung sein und auch Arbeitsplätze schaffen . ; [(Problem, in Griff, bekommen)]
Vom Wesen der Vereinbarung für die nächste Finanzierungsrunde wird in entscheidendem Maße abhängen , wie die Union sich für die bevorstehenden Aufgaben , einschließlich derjenigen , die für das Leben und wirtschaftliche Wohlergehen unserer Bürger ausschlaggebend sind , rüstet . ; [(sich, für Aufgabe, rüsten)]
Man muss das Problem bei der Wurzel packen und dafür sorgen , dass die Menschen wieder Arbeit haben .  ; [(Problem, bei Wurzel, packen)]
Wir erklären unmissverständlich , dass der Palästinensischen Autonomiebehörde oder ihrem Präsidenten unter keinen Umständen Schaden zugefügt werden darf und dass sie nicht zum Ziel von Angriffen werden dürfen , wenn ein Ausweg aus der Krise gefunden werden soll . ; [(Ausweg aus Krise, finden)]
Wir begrüßten gestern abend zwar , dass die amerikanische Seite eine Verschiebung um 6 Monate angekündigt hat , dennoch sind wir grundsätzlich gegen dieses Gesetz , und wir möchten betonen , dass unseres Erachtens die Amerikaner nicht den richtigen Weg einschlagen , wenn sie ihre Verbündeten unter Druck setzen . ; [(Weg, einschlagen), (Verbündeter, unter Druck, setzen)]
Wir müssen Möglichkeiten zur Dopingbekämpfung auf internationaler Ebene schaffen , denn , wie wir gesehen haben , kann eine falsche Anschuldigung eine Laufbahn ruinieren oder einen Schatten auf eine ansonsten beispielhafte Karriere wie die von Linford Christie werfen . ; [(Laufbahn, ruinieren), (Schatten, auf Karriere, werfen)]
Ereignisse wie die BSE - und die Dioxin-Krise haben in der Öffentlichkeit zunehmend eine Diskussion über die Umstände entfacht , unter denen vorbeugende Maßnahmen gerechtfertigt und notwendig erscheinen . ; [(Diskussion, entfachen)]
Trotzdem sollten wir uns fragen , ob der Europäische Rat die richtige Stelle ist , um die umfassende Debatte über die soziale und wirtschaftliche Zukunft Europas anzustoßen und zu leiten . ; [(Debatte, anstoßen)]
Herr Präsident , verehrte Kolleginnen und Kollegen ! Ich glaube ich muss eine Bemerkung vorausschicken , nachdem ich die Berichterstatter zu ihrer Arbeit beglückwünscht habe . ; [(Bemerkung, vorausschicken)]
Es ist sehr unhöflich , derartige Erklärungen hier im Plenarsaal in Abwesenheit des betreffenden Kollegen abzugeben . ; [(Erklärung, abgeben)]
Die meisten Asylbewerber in Europa kommen aus Afghanistan , Iran und Sri Lanka , und zurzeit - wie wir ja nur allzu gut wissen - wird es nicht leicht sein , der Lage in Afghanistan rasch Herr zu werden : die Lage dort beobachten wir ja doch mit Schrecken . ; [(Lage, Herr, werden)]
Angesichts des technischen Fortschritts müssen sich unsere Vorstellungen von den Rechten der Kinder nunmehr auch auf die Sicherheit im Internet erstrecken . ; [(sich, Vorstellung, erstrecken)]
 Denn wir haben festgestellt , dass das Internet -- trotz seiner wunderbaren Intentionen , der brillanten Innovationen und der Möglichkeiten , die es uns allen bietet -- von Menschen missbraucht wird , die unschuldige Seelen verderben und Geschäfte mit pädophilem Material und Kinderpornographie machen wollen . ; [(Seele, verderben)]
Es ist der rechte Zeitpunkt , weil das Vertrauen in die Integrität der Marktteilnehmer in den vergangenen zwei Jahren auf Grund mehrerer Fälle von Marktmissbrauch , hauptsächlich in den USA , ernsthaften Schaden genommen hat . ; [(Vertrauen, Schaden, nehmen)]
Die blaue Fahne hat dieses Vertrauen errungen , seien wir also darauf bedacht , es nicht zu beschädigen .  ; [(Fahne, Vertrauen, erringen),(Vertrauen, beschädigen)]
Die Verifizierung nun ist eine weitere Sache, die mit den Mitgliedstaaten geklärt werden muss, denn auch sie tragen Schuld. ; [(tragen, Schuld)]
Aber gestern wurde unsere Beziehung vergiftet. ; [(Beziehung, vergiften)]
Die US-Soldaten, die in der Artillery Kaserne in Garmisch stationiert sind, sollten um Demonstrationen unbedingt einen großen Bogen machen. ; [(Bogen, machen)]
Auch Dänemark hatte schon einmal die Wut von Muslimen auf sich gezogen, als vor zehn Jahren die Zeitung Jyllands-Posten Karikaturen mit des Propheten Mohammed veröffentlichte. ; [(Wut, auf sich, ziehen)]
Löwen ziehen ihr Traumlos. ; [(ziehen, Traumlos)]
Den Wunschgegner erwischten hingegen die Rhein-Neckar Löwen mit EHF-Pokalsieger Pick Szeged. ; [(Wunschgegner, erwischen)]
Stattdessen mischte man sich mehr in Renault-Angelegenheiten ein und drückte Mario Illien als Berater hinein. ; [hineindrücken, als Berater)]
Das ist eine Mentalität, die uns nach vorn tragen muss», sagte 49-Jährige im NDR-«Sportclub». ; [(Mentalität, uns, tragen)]
Traurig ist man bei den Verbänden deshalb nicht – wohl auch, weil man hofft, endlich das Schmuddel-Image abstreifen zu können "Es sind ja alle im Bundestag dafür gewesen, den IS zu bekämpfen", zeigte sich Karl-Georg Wellmann zuversichtlich. ; [(Schmuddel-Image, abstreifen)]
Die Branche wächst rasant und setzt die traditionellen Anbieter unter Druck. ; [(setzen, Anbieter, unter Druck)]
Dies stößt vor allem bei der vom Westen unterstützten Opposition des Bürgerkriegslandes auf scharfe Kritik. ; [stoßen, auf Kritik]
Es kommt nicht von ungefähr, dass Marchionne auch Tech-Giganten wie Apple und Google die Tür zur Autobranche öffnen will. ; [(Tür, zu Autobranche, öffnen)]
Und ja, natürlich wird die Serie von James Spader getragen, dessen Filme ich mir bei Bedarf noch mal ansehen müsste. ; [(Serie, tragen)]
Seco-Sprecher Maienfisch will die Beurteilung der Fifa im vorliegenden Fall nicht zu stark gewichten. ; [(Beurteilung, gewichten)]
So sei der halbe Tag schon abgedeckt. ; [(Tag, abdecken)]
Von rechten bis konservativen Politikern werden diese Ängste noch geschürt. ; [(Angst, schüren)]
Die Attentäter von Paris haben auf der Flucht angeblich einen schweren Fehler gemacht und die Polizei auf ihre Spur gebracht. ; [(auf Spur, bringen)]
Um dieses Ziel zu erreichen, ist Einsatz gefragt: „Derzeit fahren wir am Limit. ; [(fahren, an Limit)]
Einige Bankkunden im Saarland müssen 2016 tiefer inK Tasche greifen. [(in Tasche, greifen)]
"Auch wenn man schöne Zeiten wie den Aufstieg oder die Europa League erlebt hat, ist es wie in einer gescheiterten Ehe: Man muss getrennte Wege gehen. ; [(Weg, gehen)]
Die Osttiroler Redaktion Wer steckt hinter der Regionalausgabe? ; [(stecken, hinter Regionalausgabe)]
Aber das schlägt sich so unmittelbar nicht nieder. ; [(niederschlagen, sich)]
Er verlangte deshalb, so rasch wie möglich aus der Sackgasse der Sanktionspolitik herauszukommen. ; [(aus Sackgasse, herauskommen)]
Und als Beweis dafür, wie Literatur die medialen Bedingungen, in die sie verortet ist, mit deren eigenen Mitteln, wenn nicht schlagen, aber doch Funken aus ihnen schlagen kann, zweifelsohne ebenfalls. ; [(Bedingung, schlagen), (Funke, aus Bedingung, schlagen)
Hierfür muss man sich vor Augen führen, dass nicht alle Medien in allen Regionen in der gleichen Menge vorhanden sind und in der gleichen Intensität genutzt werden. ; [(vor Auge, führen)]
Daher haben dort am ehesten auch Länder wie China, Vietnam und die Philippinen was zu suchen und nicht ein Land von der anderen Seite der Erdkugel. ; [(was, zu suchen haben)]
Weil er weiß, dass die Geschäfte der Commerzbank wieder gut laufen und es keine Skandale gibt. ; [(Geschöft, laufen)]
Denn harte Zahlen wie die globale Minenproduktion oder die Nachfrage in China und Indien, den größten Goldimporteuren der Welt, spielten zuletzt bei der Preisfindung eine untergeordnete Rolle. ; [(Zahl, spielen, Rolle)]
Am Ende soll die gesamte Kette unter den Hammer kommen. ; [(kommen, unter Hammer)]
Laut Bundespolizeipräsident Romann ist der gestrige Schlag gegen die Schleuser-Mafia „das Ergebnis monatelanger akribischer Ermittlungsarbeit.“ ; [(Schlag, gegen Schleuser-Mafia)]
In den vergangenen Tagen waren bereits Tausende Lehrkräfte in anderen Bundesländern in den Warnstreik getreten. ; [(in Warnstreik, treten)]
Dieses anscheinend unumstössliche Credo ist ein Grundpfeiler der Produktentwicklung und spiegelt sich darin, dass viele Produkte immer komplexer und teurer werden. ; [(Credo, spiegeln, sich)]
Die US-Illustratorin Michelle Baron führt die Leser - oder viel eher die Suchenden - durch 15 Modestädte. ; [(führen, durch Modestadt)]
Der Begriff, den Medien und Firmen gern benutzen, wird hier mit Leben gefüllt. ; [(Begriff, mit Leben, füllen)]
Zumal mit Ribery und Robben zwei Ü30 Spieler im Herbst ihrer Karriere stehen. ; [(in Herbst Karriere, stehen)]
Vielmehr mit extrem harten verbalen Bandagen gekämpft. ; [(mit Bandage, kämpfen)]
Athen legte für das frische Geld ein neues Reformpaket auf. ; [(Reformpaket, auflegen)]
Wer braucht diese Partei, die jeden, aber auch jeden Hang zur Realität verloren hat? ; [(Hang zu Realität, verlieren)]
Der Gesetzgeber wolle nicht, dass solche Streitigkeiten zwischen kantonalen Organen ans Bundesgericht getragen würden, heisst es im Urteil aus Lausanne. [(Streitigkeit, tragen, an Bundesgericht)]
Das derjenige nichts Gutes im Schilde führt, dürfte klar sein. ; [(im Schild, führen)]
Und sie kann kein weltpolitisches Versagen ausbügeln. ; [(Versagen, ausbügeln)]
Frauenlauf: 3 von 14'291 Geschichten Frauenlauf verzeichnet Rekord. Afrikanische Athletinnen und Athleten, besonders jene aus Kenia und Äthiopien, nehmen im Laufsport bedeutende Rollen ein. ; [(Rolle, einnehmen)]
Die Debatte verschiebt sich insgesamt von dem Profitinteresse der Waffenhändler zu den staatlichen Strukturen in Mexiko. ; [(Debatte, verschieben, sich)]
Die 71-jährige Ilsemarie Liebing hatte den Anstoß, zur Gründung des BN in Schwanstetten gegeben. ; [(Anstoß, geben)]
Seit Jahren spielt er mit Bayer Leverkusen an der Spitze. ; [(spielen, an Spitze)]
"Ich versuchte die Lücke zu schließen, aber es gelang mir nicht." ; [(Lücke, schließen)]
Auch in der Einwanderungs- und Außenpolitik stehen die Zeichen zwischen Präsident Barack Obama und der republikanischen Mehrheit auf Konfrontation. ; [(Zeichen, stehen, auf Konfrontation)]












































