Sentence	Output
Les dirigeants de l' UE y ont souligné la nécessité d' améliorer nos services de télécommunications dans leurs ensemble .	[]
Je ne veux pas m' attarder sur les livres , mais je viens de terminer la lecture du livre de Davis Landis Barnill sur ce qui rend certains pays prospères et d' autres moins prospères , et il est intéressant de noter l' importance qu' il attache aux questions ayant trait au genre dans la prospérité économique et la stabilité politique des sociétés depuis des millénaires .	[]
Jadis , les personnes embarquaient au péril de leur vie à bord de navires mal équipés ; aujourd ' hui , les pêcheurs ont la capacité technique de repérer les bancs de poissons et de les exploiter , et ils devraient payer une redevance pour cela .	[]
Je comprends tout à fait cette question .	[]
Je voudrais donc demander à Madame le Commissaire si elle pourrait nous rencontrer , Mme Morgan et moimême , pour tenter d' envisager des solutions pratiques .	[]
Si certains problèmes doivent faire l' objet d' une attention particulière , par exemple en cas d' inquiétudes concernant les personnes pauvres , vulnérables et défavorisées , nous devons mettre en œuvre des mesures sociales alternatives pour assister les intéressés et ne pas céder à la tentation d' une solution à court terme telle qu' une réduction de la fiscalité .	[]
Bien que je ne partage pas ses conclusions , je crois qu' il a illustré , dans son rapport , un grand nombre de questions dont la Commission doit s' occuper .	[]
Tout cela doit être mis en place afin de garantir que nous obtenions les meilleurs résultats possibles pour le travail qui a été fourni et pour les dépenses qui ont été consenties .	[]
Là où le texte de M. Pirker expose les peines en vigueur pour le trafic , la détention et la consommation de drogues de synthèse , les verts cherchent à éliminer la référence à la consommation .	[]
Je sais qu' il a fait un compte rendu aux députés juste après que l' accord a été paraphé : il a téléphoné au député pour l' informer de la conclusion de l' accord .	[]
Cela signifie que nous ne disposons pas seulement de la perspective de ce sommet du Caire , mais aussi d' une base bien établie pour continuer , élargir et améliorer nos activités quotidiennes .	[]
Je ne comprends pas le problème .	[]
C' est à l' Égypte de nous montrer ici dans cette Assemblée qu' elle prend les droits de ses minorités sérieusement , de demander la fin des discriminations contre ces minorités , de libérer les homosexuels et de mettre fin aux enquêtes dont ils font l' objet sur tout le territoire égyptien et qui préoccupent cette Assemblée .	[]
Ces deux articles , quelque soit leur combinaison , doivent être lus l' un avec l' autre .	[]
Vous serez peut-être en mesure d' obtenir certaines informations au sujet de cette plante et de la façon dont elle a colonisé l' environnement .	[]
Quiconque ayant lu le rapport ne peut douter du sérieux avec lequel la tâche a été accomplie .	[]
Cependant , nous sommes forcés de constater au vu des remarques formulées de temps en temps par la Commission qu' il existe de réels problèmes et nous trouvons difficile d' effectuer notre travail au sein de ce Parlement sans que soit atteint ce degré de transparence .	[]
Comme vous le savez , nous essayons de collaborer au sein de forums internationaux en vue d' apporter une solution à ce problème .	[]
Nous devrions entamer un dialogue franc et ouvert en ce qui concerne les politiques que les gouvernements partenaires doivent appliquer en vue d' améliorer la situation dans ce domaine .	[]
Un large éventail d' ONG a eu l' occasion d' y exposer ses inquiétudes relatives à des pays où des thèmes essentiels , et il ne fait aucun doute que cet apport se révélera utile lors du processus de délibération .	[]
Monsieur le Président , je pense que l' importance de la question dont nous discutons ce soir réside dans le fait que cette commission continue à être extrêmement vigilant concernant les problèmes de sécurité des jouets , comme elle l' est d' ailleurs concernant tous les biens de consommation .	[]
Je voudrais proposer que les groupes politiques soient invités à introduire des propositions de résolution en conclusion du débat sur la viande bovine britannique .	[]
La résolution fait allusion à l' idée d' une contribution de solidarité sur les billets d' avion , mais elle ne doit pas constituer la seule piste et , à l' instar de Mme Kinnock , je souhaiterais suggérer d' autres possibilités .	[]
Très peu de responsables politiques voudraient s' élever contre de telles propositions , par crainte que leurs paroles ne soient mal interprétées , mais le lien n' a pas été fermement établi entre l' emploi des phtalates dans les jouets et un quelconque risque pour les enfants .	[]
L' ESB est une maladie dégénérative qui ne provoque de toute façon pas une mort subite .	[]
Dans mon pays , cela reviendrait à 45 - 55 livres sterling ou 70 - 90 euros par animal , sans aucun bénéfice en retour et , comme l' a déjà souligné M. Goodwill , ce projet pourrait entraîner une réduction du prix marchand de certaines catégories de bestiaux , notamment des jeunes taureaux .	[]
Voici un pays qui peut conclure un accord commercial avec l' UE sans être obligé de payer une cotisation de membre ou adopter des milliers de directives et règlements chaque année .	[]
Nous soutenons , bien sûr , les échanges dans le cadre des programmes Erasmus , Socrates , etc. , à l' Institut d' éducation européen de Florence , mais trop peu d' étudiants profitent de ces programmes .	[]
Nous examinons ce problème au sein de nos institutions et conformément à nos lois et règlements .	[]
De nombreux États membres ont travaillé dans l' esprit de protéger leurs propres intérêts nationaux plutôt que dans le but d' améliorer le système général européen .	[]
La présente directive mettra la Communauté européenne en première ligne de la bataille pour contrôler le nombre de décès et de maladies imputables au tabac .	[]
Vous comprenez à présent parfaitement le sens de ma question et vous allez y répondre et m' assurer que cet argent , qui a été illégalement transféré par des dictateurs et des terroristes , sera rendu au peuple des anciennes colonies concernées ?	[]
Certes , nous devons nous préoccuper des problèmes humains liés à la compression de la main- d' uvre , mais dans le même temps , nous devons nous souvenir que le coût des denrées alimentaires a diminué .	[]
Et dans un sens , cela revient à construire les différents éléments de ce que nous faisons bien - le travail que nous faisons dans le renforcement de l' État , dans la justice , sur le respect du droit , le travail que nous accomplissons en ce qui concerne les programmes de développement , le travail que nous accomplissons sur le traitement des questions du changement climatique , le travail que nous accomplissons en apportant notre soutien aux gouvernements et aux populations - tout cela est conçu pour augmenter notre sécurité , notre stabilité et notre prospérité , mais en réalité , en faisant cela , nous créons un monde plus sûr , plus stable et plus prospère .	[]
Grâce au système de prix différentiés et au déliement de l' aide , nous avons pu contribuer à réduire les prix des médicaments jusqu’à 90 % .	[]
Ce sont des personnes clés , car elles comprennent les enjeux sociaux , politiques et culturels , dont nous n' avons peut-être pas conscience lorsque nous débarquons sur place pour effectuer notre mission d' observation des élections .	[]
Lorsque je faisais partie de la commission du contrôle budgétaire et que j' ai rencontré les personnes qui géraient ce projet , leur connaissance quant à la gestion d' une telle entreprise était loin de m' impressionner , et je viens du milieu industriel et financier .	[]
Ma commission pense que cet argent , dont le montant est inapproprié pour le moment , doit être employé à l' amélioration des équipements et services offerts ; c' est pourquoi nous voulons également voir développer une stratégie de développement des services permettant aux réfugiés et aux personnes déplacées de jouer un rôle pleinement actif dans la société , sur un pied d' égalité .	[]
Les conducteurs de camions non britanniques ne paient pas les taxes routières britanniques .	[]
Par ce vote , nous reconnaissons que les propositions sont loin d' être parfaites mais qu' elles s' efforcent quand même de résoudre la situation actuelle .	[]
Pour ce qui est de la question des paiements de détail transfrontaliers , qui a été soulevée en diverses occasions par le Parlement européen , rappelez -vous qu' en septembre 1999 , la BCE a publié un rapport intitulé L' amélioration des systèmes de paiements de détail transfrontaliers - le point de vue de l' Eurosystème .	[]
Les traductions représentent pour le moment le plus gros problème à résoudre dans le cadre de la réduction des frais et de l' accélération du processus de délivrance .	[]
J' ai parfaitement compris le message , Monsieur Wynn .	[]
Je ne veux pas que quelque banque de clowns nationalisée se permette d' investir mon argent ou celui de mes électeurs .	[]
Nous devons apprécier ce mécanisme et utiliser l' expérience des personnes que nous représentons , expérience exprimée à travers leurs pétitions , en vue d' améliorer globalement notre travail .	[]
Ce rapport , dont le titre suscite probablement davantage de confusion qu' il ne fournit d' explications aux personnes qui ne sont pas au courant , est en réalité une série d' amendements séparés visant à mettre à jour le règlement original .	[]
Je soutiens pleinement l' idée avancée par M. Ferber concernant la création d' une agence interinstitutionnelle pour le recrutement parce que je crois que cela contribuera à la réduction des coûts et à la réduction de la concurrence à laquelle se livrent les institutions pour attirer du personnel .	[]
Quelles garanties le Conseil peut -il par conséquent nous donner que tous les produits envoyés par l' Union européenne à la Russie finiront par aboutir entre les mains de ceux qui en ont véritablement besoin ?	[]
Dès lors , faisons en sorte d' adopter la directive mais n' oublions pas les autres problèmes .	[]
Si nous voulons nous assurer de la victoire sur les marchands de peurs qui sont parmi nous - ceux qui tirent leur pouvoir de l' anxiété des citoyens - nous devons alors nous poser sérieusement la question de savoir comment vivre ensemble et comment démanteler les stéréotypes négatifs que nous cultivons les uns sur les autres au sein de l' actuelle Union européenne ainsi que parmi ceux qui cherchent à se joindre à nous et , en outre , parmi ceux qui se trouvent dans d' autres pays d' Europe et du monde et qui souhaitent venir vivre et travailler en Europe .	[]
Il incombe maintenant aux pétroliers et aux gouvernements des pays qui ne disposent pas de plans d' urgence de trouver des solutions pour les personnes possédant ces voitures , soit par la commercialisation d' additifs pour le plomb , soit par la commercialisation d' essence dont la formule aura été modifiée .	[]
Il appartient à chaque entreprise de décider et d' organiser sa production , selon ses propres critères , entre une ou plusieurs usines de transformation .	[]
Des groupes de députés restent évidemment libres de trouver d' autres méthodes de travail , ils le font déjà , et j' imagine que ce processus se poursuivra et prendra de l' ampleur .	[]
Selon les estimations , un accord UE-Mercosur pourrait entraîner une diminution des prix du bœuf irlandais de 30 % , ce qui infligerait , rien qu' à l' Irlande , des pertes pouvant atteindre 500 millions d' euros .	[]
J' aurais dû dire , lorsque j' ai parlé de la question des tests , que les tests en exploitation ne sont pas encore disponibles .	[]
L' accent sera mis en particulier sur la transparence et la protection des consommateurs , ainsi que sur l' élaboration d' un cadre relatif aux crises bancaires , dans le but de prévenir et de gérer toute crise future .	[]
C' est pourquoi nous devons trouver la bonne façon de les faire avancer .	[]
Mme van den Burg a demandé si j' avais lu le livre de M. Seifert .	[]
Le fait demeure que nous aimons tous les chemins de fer et que nous en reconnaissons tous la nécessité et que pourtant , l' industrie européenne des chemins de fer est confrontée à de graves difficultés que nous devons essayer de résoudre tous ensemble .	[]
J' admets toutefois que la résolution de ce problème nécessite une action permanente , que nous devons sans cesse formuler de nouvelles propositions et chercher de nouvelles ouvertures , car il est certain que les échanges internationaux profiteront à l' économie mondiale ; et c' est ce dont a besoin la majeure partie de celle-ci en ce moment .	[]
Les députés de cette Assemblée ne me contrediront pas si je dis qu' il est courant pour les présidences du Conseil d' organiser une exposition à caractère culturel , social ou historique dans la partie du bâtiment Justus Lipsius réservée aux conférences .	[]
Qu' ils s' occupent aussi des problèmes du secret bancaire et des paradis fiscaux qui offrent une couverture au blanchiment d' argent .	[]
"Sur l' étiquette des produits cosmétiques contenant un des 26 allergènes parfumés doit figurer l' avertissement : "" peut causer une réaction allergique "" ."	[]
Ces dispositions , telles qu' elles sont rédigées , rendraient quasiment impossible pour une compagnie d' assurance ou une banque l' investissement de l' argent des fonds de pension dans d' autres institutions financières , en raison de la rigueur des déductions .	[]
Sur la demande du Conseil , la Commission prépare une communication sur les retards et la congestion du trafic aérien et réexaminera certainement cette question et proposera des initiatives dans le domaine de la gestion de l' espace aérien .	[]
Les initiatives de l' article 185 jouent un rôle prépondérant dans le traitement de ces sujets clés .	[]
Permettez -moi de remercier la Commission pour ce programme et Mme Perez Latorre en particulier pour l' aide qu' elle a apporté dans l' organisation de cette exposition .	[]
Y est notamment suggérée l' idée d' une directive-cadre relative aux pratiques commerciales déloyales .	[]
Il ne sert à rien de venir dans cette enceinte parler de propositions aux idées larges , si c' est pour voir , autour de nous , des jeunes mourir de toxicomanie , tandis que ceux qui importent et vendent ces drogues s' en tirent sans problèmes .	[]
Je suis ravi et soulagé de la réponse du commissaire , car j' ai été interpellé par des détaillants européens qui ont investi des sommes colossales en Asie , ont amélioré les conditions sanitaires et de sécurité ainsi que les conditions de travail dans les pays asiatiques et apportent des bénéfices économiques à la fois aux travailleurs asiatiques et aux détaillants européens .	[]
J' aimerais vous rappeler que le rapport Raimon Obiols i Germà et Charles Tannock sera soumis au vote demain matin , et que les textes présentés pour conclure le débat sur les déclarations du Conseil et de la Commission seront soumis au vote a Bruxelles le 29 novembre 2007 .	[]
La remarque que j' ai faite à Mme Gradin , et qu' elle comprend parfaitement , j' en suis sûr , surtout depuis que je l' ai expliquée en détail dans ma toute dernière lettre , concerne simplement cette réalité juridique et le fait que la Commission s' acquitte convenablement de ses fonctions en sa qualité d' organisation établie juridiquement et soumise aux obligations inscrites dans la loi sous la forme du Statut des fonctionnaires .	[]
Cette tendance devrait se poursuivre , et je sais que la Commission continuera à suivre attentivement les activités du Médiateur et à accueillir favorablement ses propositions .	[]
Nous en avons conscience , et nous nous souvenons aussi qu' il a parfois la mémoire courte et sélective quand il s' agit du nazisme .	[]
Et c' est précisément pour cela que je pense que ce Parlement devrait profiter de l' occasion pour exprimer à la Cour des comptes sa grande inquiétude face au fait qu' un document aussi important que celui préparé par la Cour puisse se retrouver , reproduit de façon correcte ou incorrecte , dans les colonnes du Der Spiegel du 8 novembre .	[]
Ce solide partenariat stratégique devrait nous permettre , et nous permet sans aucun doute , d' aborder tous les sujets , même les plus sensibles .	[]
Je suis certain que mes collègues , Mme Malmström et Mme Reding , prêteront attention aux réponses à apporter à toutes les préoccupations formulées au cours de ce débat et dans le cadre du dialogue structuré qu' elles ont entretenu avec les commissions chargées de leurs domaines de compétences respectifs .	[]
L' affaire n' est pas classée .	[]
Mieux encore , qu' elle annule tout le projet et verse tous les fonds sur un compte spécial qui permettra de couvrir les énormes frais qu' occasionnera le démantèlement de l' euro .	[]
L' affaire ne doit pas être étouffée ; elle doit être traitée directement par ce Parlement et l' Union européenne .	[]
M. Graefe zu Baringdorf m' a demandé de considérer la question de l' interdiction totale des graisses de ruminants dans l' alimentation animale .	[]
J' aimerais donner au commissaire un exemple hypothétique : prenons un fonctionnaire aveugle , âgé de 62 ans ( autrement dit à trois ans seulement de la retraite ) , travaillant dans un bureau extérieur où il est à l' aise et évolue facilement , et où son travail ne suscite aucune plainte ; trouverait -il raisonnable que l' on envisage le transfert obligatoire de cet individu à Bruxelles à ce stade de sa carrière ?	[]
C' est particulièrement le cas dans ma région , les West Midlands , où ce retard crée beaucoup d' incertitude au niveau des communautés et des contribuables locaux , qui doivent soutenir financièrement des projets pour des sommes de plusieurs millions de livres , en attendant la solution aux problèmes que j' ai soulignés .	[]
Dans le cadre de sa proposition de législation , la Commission inclura dès lors un programme de durabilité des biocarburants , pour veiller à ce que le secteur des biocarburants joue son rôle dans la résolution de cette question .	[]
Je suis persuadé qu' avec l' aide du Parlement européen , nous serons en mesure de finaliser un bon accord pour les deux parties .	[]
Je terminerai par deux remarques .	[]
J' ai évoqué la question du chevauchement d' ordre technique entre deux agences - l' ETF et le Cedefop - dans mon allocution introductive , mais je voudrais une fois encore souligner que la contribution de ces agences peut s' avérer cruciale , particulièrement dans le cadre de l' augmentation du taux d' emploi des objectifs de la stratégie ' Europe 2020 ' .	[]
Pour ce qui est de Tchernobyl , un soutien important fourni par l' UE a trait à la transformation du sarcophage en un système acceptable sur le plan environnemental , ainsi qu' à la prise en considération des besoins sociaux .	[]
J' ai dit au contraire que nous comprenions tout à fait ces raisons et que Mme Garaud avait toute notre sympathie .	[]
Fournir une aide humanitaire c' est uniquement une approche à court terme - notre objectif doit être l' amélioration de l' économie .	[]
Si je réunissais autour d' une même table les représentants de l' industrie , concessionnaires et constructeurs , accepteriez -vous de vous joindre à eux pour examiner les moyens de sortir de cette situation en ayant , si besoin est , recours aux instruments de la concurrence ?	[]
Nous évoquons également dans cette question l' idée d' instaurer un fonds de réserve destiné aux indemnisations , mais il ne faut pas considérer ceci comme une demande de notre part ou de celle de la Commission .	[]
Il ne s' agit que d' une simple idée .	[]
Le Parlement européen et les acteurs de la société civile jouent traditionnellement un rôle crucial en termes de soutien apporté aux efforts abolitionnistes et de promotion du débat sur les moyens d' améliorer notre politique consentis par l' Union européenne .	[]
Cette situation nécessite une intervention , car les impôts prélevés sur les paysans ont considérablement augmenté ces derniers temps , à cause de cette modernisation .	[]
Je voudrais également profiter de cette occasion pour réfuter les accusations non fondées exprimées par l' ambassadeur du Pakistan à Washington selon lesquelles la MOE de l' UE aurait divulgué un rapport intermédiaire d' information .	[]
Au lieu de cela , nous pourrions aider au développement de l' économie de nos voisins européens et des pays du tiers-monde en leur ouvrant des possibilités de libre-échange .	[]
L' Association des compagnies aériennes européennes a été jusqu'à suggérer que certains gouvernements , en particulier le gouvernement britannique , faisaient preuve d' une certaine complaisance dans la gestion des problèmes de congestion du trafic aérien .	[]
J' aimerais à présent émettre deux remarques à l' égard de M. García-Margallo y Marfil et de Mme Kauppi .	[]
Nous connaissons actuellement une crise , en particulier dans l' agriculture , et cette crise doit être résolue .	[]
La Commission est cependant préoccupée par le fait qu' en Russie même , les accusations ont seulement fait l' objet de démentis d' usage , sans être examinées comme elles le devraient .	[]
Alors que je préparais les commentaires à vous faire aujourd'hui , j' ai cherché des exemples , parce que je pense que c' est un très bon moyen de montrer aux citoyens de l' Union européenne tout le parti qu' ils peuvent tirer de cette évolution .	[]
Nous nous félicitons particulièrement de ce que le Conseil a invité la Commission à formuler des propositions visant à trouver comment , de manière innovatrice et créative , tirer le meilleur parti des perspectives offertes par l' accord de paix .	[]
Selon moi , c' est la question que nous devrons continuellement poser lors des prochaines semaines et des prochains mois .	[]
J' ai voté pour cette proposition de résolution parce que nous devons veiller à ce que la priorité pratique et morale soit accordée à la résolution de la problématique de la traite des êtres humains et à la manière dont cette traite est utilisée comme ressource sur le marché du travail .	[]
Imposer sa propre religion ou refuser à l' autre le droit de pratiquer sa religion sont deux attitudes tout aussi condamnables .	[]
Pour cela , il faudrait soit bénéficier d' un accord bilatéral avec le Japon garantissant le strict respect de ce dernier aux règles de concurrence en vue de l' ouverture des marchés , ou alors réfléchir à ce qui pourrait être intenté dans un cadre plus large , comme l' OMC par exemple , mais spécifiquement applicable aux problèmes de concurrence .	[]
Monsieur le Président , je vous suis reconnaissant de votre indulgence , mais il me semblait que ce sujet était suffisamment important pour vous faire part de ces quelques remarques .	[]
Je me réjouis de la base juridique établie et du traitement détaillé de cette situation que permettront - je l' espère - ces nouvelles règles .	[]
Monsieur le Président , le dossier dont il est question aujourd ' hui divise l' Assemblée et suscite de vives émotions , chez le rapporteur également , bien qu' elle fasse montre d' un grand sang-froid .	[]
Je crois fermement que l' AEM devrait non seulement servir à filtrer les informations sur les médicaments communiquées aux consommateurs , mais qu' elle devrait également pouvoir intervenir lorsque les consommateurs paient clairement trop cher pour des médicaments et que les gouvernements nationaux se montrent incapables de résoudre le problème	[]
Pour toutes ces raisons , la Commission a proposé un ensemble de mesures d' urgence afin de remédier aux difficultés économiques et sociales qu' entraîne la hausse fulgurante des prix du pétrole , tout en cherchant une solution aux problèmes structurels intrinsèques de la flotte européenne .	[]
Cette question a déjà été étudiée dans le cadre de la recherche .	[]
Le premier consistait à décrire la manière dont la Commission avait entamé le processus de simplification ; le second consistait à présenter un document de travail de la Commission qui analyse les principales statistiques du secteur , la mise en œuvre des organisations de producteurs ainsi que les fonds opérationnels qui y sont liés et les aspects budgétaires ; enfin , le troisième consistait à susciter un débat au sein du Conseil , du Parlement européen et du secteur lui-même .	[]
J' ai bien peur que cela n' ait un effet boule de neige et que nous ne perdions très certainement la confiance de nos consommateurs européens , indépendamment des effets qui se font actuellement ressentir au niveau du commerce .	[]
Il faut trouver un juste équilibre : protéger la beauté , l' héritage et l' environnement naturels qui donnent tout son attrait à une région , tout en tirant un maximum de ces atouts naturels pour améliorer l' économie locale .	[]
Nous obtiendrons de la sorte une véritable diminution de la capacité tout en apportant une réponse aux problèmes liés au carburant .	[]
Dans l' intervalle - et , là aussi , je me fais l' écho de commentaires émis dans les deux rapports que nous envisageons - , nous ne devrions pas attendre que la Charte entre en vigueur pour redoubler d' efforts en matière de promotion des droits de l' homme et des libertés démocratiques dans la région .	[]
Deuxièmement , le rapport du Parlement explique de manière convaincante la nécessité d' adopter une approche holistique pour traiter la situation socio-économique des Roms .	[]
Malgré les preuves de plus en plus évidentes de l' exploitation irrationnelle et excessive des sources naturelles d' énergie et le fait que la vie quotidienne fasse partie des préoccupations relatives à la durabilité de l' environnement naturel , aujourd'hui l' humanité , et surtout les responsables politiques , manquent d' une conception claire de la solution à donner au problème .	[]
S' il existe un moyen de prévenir les députés présents dans les locaux du Parlement qu' il va y avoir un vote et d' ajourner celui-ci jusqu'à leur arrivée , faisons -le car le résultat du vote sera peut-être plus représentatif .	[]
Le tabac est responsable de 85 % des cas des cancers du poumon et la moitié des décès prématurés chez les personnes ayant fumé toute leur vie sont causés par le tabac .	[]
Je demanderais au Parlement de reconsidérer son point de vue , parce que j' estime qu' il est crucial que la question de la comitologie soit sérieusement prise en considération en la matière .	[]
Ce Livre blanc admet que la responsabilité n' est efficace que si le pollueur est identifiable , si le dommage peut être quantifié et si l' on peut établir une relation claire de cause à effet entre les deux .	[]
Je ne ferai pas de commentaires à propos du problème qui a été soulevé , mais c' est la seconde fois que les mêmes manifestants nous barrent l' accès au Parlement .	[]
J' ai voté en faveur de la proposition de résolution sur le recyclage sûr des navires , car je pense qu' il est essentiel que cette question soit traitée comme faisant partie intégrante du cycle de vie du navire .	[]
Le gouvernement royal du Cambodge a récemment pris une série d' initiatives positives pour remédier au problème , en ce compris la signature de protocoles d' entente avec la Thaïlande sur la traite des femmes et des enfants et sur la gestion de la main- d' œuvre migrante entre les deux pays , la participation à l' Initiative ministérielle coordonnée contre le trafic dans la région du Mékong et la création d' un département du trafic inhumain au sein du ministère de l' intérieur en 2002 .	[]
L' article 7 , paragraphe 4 , point e , dispose que les autorités réglementaires nationales tiennent compte des besoins de groupes sociaux particuliers , en particulier des personnes handicapées .	[]
Il s' agissait , en réalité , d' une observation à caractère général sur un point de l' ordre du jour et nous en prenons note .	[]
