Sentence	Output
L'absence, dans certains pays ACP, de mécanismes permettant d'entamer des négociations avec la société civile pose un véritable problème.	[mécanisme,poser,un problème]
Nous avions besoin d'une législation spécifique pour vaincre ce problème, à l'instar de ce que les États-Unis et certaines régions d'Espagne ont mis en place et qui fonctionne efficacement .	[législation,vaincre,problème]
Ses trois axes principaux ont été abordés de façon appropriée dans la position commune, qui reprend également de nombreuses suggestions faites par le Parlement en première lecture .	[axe principal,être aborder, ]
Je me réjouis profondément de cette mesure intelligente visant à pallier l'un des problèmes essentiels entravant l'explosion potentielle du commerce électronique à travers l'Europe, à savoir la difficulté de vérification de l'identité des utilisateurs et consommateurs .	[mesure,pallier,problème]
Collaborons plutôt afin d'obtenir un résultat qui encourage l'économie mondiale, crée une confiance politique et aide les démunis de ce monde.	[un résultat, encourager, économie]
Je veux que le commissaire garantisse que quelles que soient les mesures mises en oeuvre, celles-ci seront harmonisées au sein de l'Union européenne et financées de manière harmonisée, de sorte qu'aucun État membre ne puisse injecter davantage d'argent qu'un autre afin de soutenir son secteur en particulier.	[État,injecter,argent]
J'ai été extrêmement ravie de certaines des remarques du commissaire Verheugen ce matin, qui avaient davantage trait à la politique industrielle.	[remarque,avoir trait à,politique]
Je crains que cette confiance ne soit écornée si de la viande potentiellement contaminée venait à entrer dans la chaîne alimentaire.	[confiance, être écorner, ]
En conclusion, nous devons trouver le moyen de combiner les mesures et de nous attaquer à la situation.	[nous,s'attaquer,à situation]
En fait, cette directive, comme tant d'autres directives touchant aux questions environnementales, n'est pas bonne.	[directive,toucher,à question]
Néanmoins, je veux insister sur l'inquiétude et l'angoisse qu'engendre cette initiative de la Commission en particulier et, en fait, le rapport de M. Costa, bien que je pense personnellement que la plupart de ces inquiétudes ont été pleinement abordées en commission où, je le sais, il y a un soutien général du travail de M.Costa.	[inquiétude, être aborder, ]
Le premier concerne la création d'un Fonds monétaire européen, qui est absolument indispensable et qui était une idée également lancée par M.Schäuble, le ministre allemand des finances.	[M.Schäuble,lancer,idée]
Ce serait plus facile pour nous si nous disposions de quelque indication sérieuse de la véritable intention d'Israël d'insuffler une nouvelle vie dans le processus de paix.	[Israël,insuffler,vie]
Tout d'abord, je voudrais m'attacher à la question de l'amélioration de la législation pénale existante des États membres en ce qui concerne la criminalisation des trafiquants d'êtres humains à des fins d' exploitation sexuelle .	[je,s'attacher,à question]
Je pense que le financement de la science et de la recherche doit être prioritairement axé sur l'excellence.	[financement,être axer,sur excellence]
Néanmoins, il se peut que vous n'ayez pas eu le temps d'en digérer le contenu, c'est pourquoi je résumerai brièvement les principaux points.	[vous,digérer,contenu]
Monsieur le Président, Monsieur le Commissaire, chers collègues, j'aimerais amener deux réflexions au rapport de M.Inglewood.	[je,amener,réflexion]
J'espère que je n'aurai plus d'autres adieux à faire concernant la Turquie dans cette enceinte, et que nous pourrons aller de l'avant pour nous attaquer aux grands défis économiques et autres de l'Union européenne.	[nous,s'attaquer,à défi]
Monsieur le Président, Monsieur le Commissaire  le commerce électronique offre à l'Union européenne une occasion unique de stimuler sa croissance économique, d'accroître la compétitivité de son industrie et de créer de nouveaux emplois.	[croissance, être stimuler, ]
Ce paquet représente une opportunité pour l'Europe pour se montrer sous son meilleur angle: s'attaquer à un problème d'importance fondamentale à long terme; utiliser au mieux la dimension continentale de l'Union européenne; transformer le consensus politique en mesures concrètes.	[, s'attaquer, à problème]
Il s'agit là de tâches considérables auxquelles l'UE essaie de s'attaquer dans le plan d' action proposé.	[l'UE,s'attaquer,à tâche]
Lorsqu'une solution à l'amiable n'est pas possible, je clôture l'affaire avec une remarque critique ou propose un projet de recommandation.	[je,clôturer,affaire]
Nous devons gagner la confiance des contribuables européens et pour ce faire, nous ne pouvons qu'augmenter la responsabilité en simplifiant - et non en compliquant - le travail du Parlement , en diminuant le jargon , en améliorant le processus d' approbation des législations , en améliorant la machine législative et en établissant une connexion claire entre ce que nous faisons ici et de quelle manière l'individu en tire profit.	[nous,établissant,connexion]
J'espère de tout cœur que l Iran se réengagera dans ces processus et saisira l'occasion de clarifier sa position, de dissiper les malentendus et de commencer à rétablir une confiance générale, qui a été gravement entamée par les récentes déclarations.	[confiance,entamer,par déclaration]
Madame la Présidente, Mesdames et Messieurs, la Commission partage entièrement l'avis du député selon lequel la silver economy est un domaine de développement très prometteu , qui doit être dynamisé aux niveaux local, national et européen.	[la silver economy,être dynamiser, ]
Le moment est venu pour moi de clôturer le débat.	[je,clôturer,débat]
Il contient des remarques essentielles concernant les points sur lesquels les décideurs européens devront concentrer leurs efforts dans les années à venir.	[Il,contenir,remarque]
L'amendement que j'ai soumis a trait aux problèmes de distorsion de concurrence et du secret, tout en soutenant le principe d'innovation.	[amendement,avoir trait à,problème]
Une solution vient d'être dégagée, et elle consiste à encourager la participation des citoyens eux-mêmes dans la vie démocratique de l'Union.	[solution, être dégager, ]
Elle est opportune car la confiance dans l'intégrité des opérateurs du marché a été considérablement affaiblie ces deux dernières années à la suite de différents cas d'abus de marché, principalement aux États-Unis.	[confiance, être affaiblir, ]
Si je ne décroche pas d'emploi à l'aéroport de Bruxelles, j'en décrocherai peut-être un à l'aéroport de Francfort, où je dois souvent me rendre, compte tenu de la longueur des questions qui me sont posées ici dans cette Assemblée.	[je,décrocher,emploi]
Le programme Daphne contribue à la lutte contre ce phénomène dans toute l'Union européenne; ceux qui ne soutiennent pas ce rapport aujourd'hui doivent être condamnés.	[programme,lutter, contre phénomène]
Nous la condamnons fermement - il n y a jamais d'excuse pour le terrorisme, mais nous demandons également à la Turquie d'essayer de trouver des interlocuteurs pacifiques, d'emprunter une voie politique et d'investir dans le développement économique et social du sud-est.	[Turquie,emprunter,voie]
Mais une telle politique touche également au problème du travail au noir.	[politique,toucher à,problème]
Je ne souhaite absolument pas réduire nos attentes mais je prendrais bien garde de ne pas entretenir de trop grands espoirs afin que ceux qui ne veulent pas voir aboutir les négociations internationales ne puissent faire échouer le processus après le Mexique si nous ne parvenions à aucun accord.	[il,faire échouer,processus]
Je vote en faveur du présent rapport d'initiative parce qu'il se penche sur des questions d'actualité dans le cadre de l'éternel débat sur le secteur de la notation de crédit: en particulier, le manque de concurrence, l'existence de structures oligopolistiques, ainsi que l'absence d'obligation de rendre des comptes et le défaut de transparence, principalement en ce qui concerne la notation de la dette souveraine.	[Il,se pencher,sur question]
En effet, la communauté internationale devrait afficher un engagement dépassant celui affiché pour s'attaquer à la crise financière.	[la communauté,s'attaquer à,crise]
Sur le plan économique, le cadre macroéconomique présenté à New York doit être plus rigoureux et combiné à une orientation claire vers l'emploi et la croissance, qui brisera le cycle de la pauvreté et de l'inégalité.	[cadre,briser,cycle]
C'est une tâche à laquelle il faut s'atteler en tandem avec les institutions.	[, s'atteler à,tâche]
Il est essentiel qu'au Parlement et à la Commission, nous gardions nos esprits, nos oreilles et nos yeux ouverts aux nouveaux moyens d'attaquer le problème du chômage.	[communauté,attaquer,problème]
Autant d'aspects spécifiques qui devraient être abordés par la Commission.	[aspect, être aborder, ]
C'est un acquis positif parce que nous devons nous pencher conjointement avec la Libye sur tous les défis auxquels cette dernière est confrontée en ce qui concerne les migrations.	[nous,se pencher,sur défi]
En ce qui concerne le pourcentage accordé au Royaume-Uni, ne pense-t -il pas qu'il serait plus équitable d'octroyer un pourcentage plus important au pays dont le marché et où la confiance du consommateur dans ce marché ont été le plus gravement frappés?	[confiance,être frapper, ]
À présent, en cas de rupture de l'accord interinstitutionnel, nous en revenons au Traité, qui confère au Parlement bien davantage de pouvoir et d'autorité.	[accord,être rupture, ]
Au Royaume-Uni, le précédent gouvernement conservateur a émis de sérieux doutes sur l'avènement ou non de l'euro.	[gouvernement,émettre,doute]
Le troisième point que je voulais aborder est le cas de la Chine.	[je, aborder, point]
Je nous soupçonne, Monsieur le Président en exercice, de ne pas avoir le courage de prendre cet important problème à bras-le-corps.	[nous,prendre,problème à bras le corps]
Si la chaîne alimentaire européenne demeure une des plus sûres au monde, des scandales récents ont terni la confiance de nos consommateurs dans les aliments que nous mangeons et les méthodes que nous utilisons pour les produire.	[scandal,ternir,confiance]
Ce n'est que l'Union dans son ensemble sera compétitive que nous pourrons aborder convenablement tout ce qui touche à la solidarité.	[nous,aborder,ce qui touche]
L'Union européenne doit naturellement affronter ces problèmes, y compris celui de la stabilité financière.	[L'Union européenne,affronter,problème]
Pouvez-vous répondre à ma question avant que je ne poursuive mes remarques?	[je,poursuivre,remarque]
Le président en exercice a abordé certaines de ces préoccupations lors de son intervention.	[président,aborder,préoccupation]
Une telle promotion complique de plus en plus pour les parents la défense d'une alimentation saine: des limites à ces promotions sont donc indispensables pour lutter contre ce problème.	[limite,lutter,contre problème]
Les Chinois semblent incapables de saisir cet aspect essentiel signalé par M.Watts et d'autres orateurs, selon lequel Hong-Kong n'est pas simplement une usine à fabriquer de l argent; sa prospérité économique dépend du bien-être de ses citoyens; faut que cela soit compris.	[Les Chinois,saisir,aspect]
Au bout de cette route, le Parlement se trouvera face à un grave problème, celui de trouver les ressources humaines nécessaires pour assurer la pérennité du secteur agricole.	[Le Parlement,se trouver face à,problème]
C'est à n'en point douter un problème dont la conférence des présidents pourrait se saisir et qu'elle pourrait régler équitablement.	[la conférence,se saisir,de problème]
Le point que je voulais soulever au travers de cette question est que la concentration de la propriété dans le secteur des médias génère parfois des problèmes au niveau de la liberté de la presse, en particulier lorsque cette concentration de la propriété déborde du cadre strict de la propriété des journaux pour s'étendre à d'autres sphères de l'économie.	[je,soulever,point]
Par le biais de l'utilisation d'un étiquetage clair, les individus commencent à réaliser qu'ils peuvent jouer leur rôle dans la lutte contre le problème de la pauvreté internationale.	[il,lutter,contre problème]
Monsieur le Président, je ne crois pas que la Commission se soit suffisamment attelée aux problèmes qui se posent dans les différents États membres.	[la Commission,s'atteler,à problème]
Ce livre vert stimule actuellement un débat important et - selon moi - bienvenu sur la manière de lever les obstacles afin de réaliser des économies d'énergie substantielles d'ici 2020.	[Livre,stimuler,débat]
Le contrat ayant été signé par le gouvernement conservateur précédent, M.Cook a déclaré qu'il ne pouvait pas être cassé.	[M. Cook,casser,contrat]
Le commissaire envisage-t-il d'instituer un instrument financier permettant de résoudre un problème dont il voit clairement qu'il appelle une réponse?	[Le commissaire,appeler réponse à,problème]
Il est tout aussi clair que l'Europe n'a pas les ressources pour une identité européenne de défense: nous ne pouvons monter une campagne sans le soutien des Américains et de l'OTAN.	[nous,monter,campagne]
L'Union européenne doit maintenant se frayer son propre chemin.	[L'Union européenne,se frayer,chemin]
Cela implique aussi un partenariat à tous les niveaux, pour répondre aussi efficacement que possible aux plus gros besoins du public et résorber les inégalités sur le plan de la santé, surtout dans le contexte actuel de l'élargissement  au sujet duquel la Commission devrait nous présenter tout prochainement un nouveau texte très attendu.	[ ,résorber,inégalité]
Nous espérons qu'au bout du compte, ce pauvre pays en développement parviendra progressivement à s'engager sur la voie de la paix et de la prospérité dont il a tant besoin, et ce dans l'intérêt de tous ses citoyens.	[ ,s'engager,sur la voie]
Je pense que les problèmes principaux des îles peuvent être combattus plus efficacement avec, par exemple, des instruments horizontaux.	[problème,être combattre, ]
Parallèlement, nous actualiserons également l'approche globale de la migration dans le cadre des préparatifs accomplis en vue du Conseil européen de décembre, et travaillerons à lutter contre le mal à sa racine lors de la conférence euro-africaine sur la migration et le développement qui aura lieu le mois prochain.	[nous,lutter,contre mal]
Après la guerre, il a travaillé de longues années à la mairie de Liverpool et s'est penché sur les problèmes de l'habitat de cette cité.	[il,se pencher,sur problème]
Permettez-moi de signaler qu'il est primordial de traiter les problèmes qui importent vraiment aux yeux des citoyens européens, et pas seulement les problèmes d'ordre général, pas uniquement la grande politique, mais les vrais problèmes qui affectent leur vie.	[problème,être traiter, ]
Certes, nous pouvons et devrions agir, mais je voulais d'abord faire cette mise en garde.	[je,faire,mise en garde]
Bien que j'éprouve une certaine affinité philosophique avec le sénateur Hollings et ses collègues, qui considèrent que les entreprises publiques détiennent des avantages cachés, parfois explicites, par rapport à leurs concurrentes privées, la manière dont le Congrès américain tente de régler la situation est contraire tant à l'esprit qu'à la lettre des engagements multilatéraux des États-Unis.	[le Congrès américain ,régler,situation]
Si Pörtschach peut redonner vie à la vision d'une Europe unie en montrant le chemin vers ses trois concepts- paix, prospérité et sécurité-, elle fixera alors un calendrier à la fois nouveau et pertinent pour les années à venir.	[Pörtschach,redonner,vie]
L'organe chargé de l'élaboration de la charte devra mettre au point un texte qui a une réelle portée politique tout en pouvant être inséré dans le Traité.	[L'organe,mettre au point,un texte]
Comme l'a gentiment rappelé le président, j'ai visité toutes les capitales et chaque état membre a été entendu et a contribué à façonner le résultat.	[état,façonner,résultat]
J'ai accueilli avec intérêt les idées avancées sur la possibilité d'offrir des navires de pêche de la Commission- ou plutôt, des flottes de l'Union européenne- aux communautés des pays affectés.	[idée,être avancer, ]
Les industries artisanales locales ont de grandes possibilités de stimuler les économies locales.	[industrie,stimuler,économie]
Ces ONG feront face au besoin le plus urgent, à savoir déplacer les personnes en danger vers des zones plus sûres, ainsi que fournir des soins de santé, de l'eau et des installations sanitaires.	[ONG,faire face à,besoin]
Et j'espère que la réforme que nous avons déjà tenté de promouvoir se poursuivra dans le futur, autrement, la confiance dans le gouvernement géorgien se retrouvera en lambeaux si la crise actuelle ne peut être résolue par des voies démocratiques.	[confiance,se retrouver,en lambeaux]
La meilleure chose que le Parlement européen puisse faire aujourd’hui est d'encourager le Premier ministre Zapatero dans son effort de rassembler des peuples autrefois irréconciliables afin de trouver un terrain d'entente pour l'avenir du Pays basque.	[le Premier ministre,trouver,terrain d'entente]
Monsieur le Président, je suis heureux que le commissaire ait compris que nous appelons à l'élaboration sans délai d'un Livre vert permettant d'alimenter un débat plus approfondi sur les propositions de la Commission.	[Livre,alimenter,débat]
La réponse à la crise financière passe-t-elle par plus de régulation?	[être réponse, à la crise]
Je sais que le Parlement européen partage la volonté de la Commission européenne d'apporter son soutien total aux travaux de la présidence allemande dans sa recherche de la voie juste.	[la présidence,recherche,voie]
Par conséquent, mon groupe estime qu'il est vital que le Conseil européen revienne sur la question du vote à la majorité qualifiée au Conseil, la composition de la Commission et la pondération des votes.	[le conseil,revenir,sur question]
Toujours incapables de saisir le concept du marché unique, ces autorités nationales devraient être soumises au test du tableau du marché unique du commissaire Monti.	[autorité,saisir,concept]
La question de savoir si cette participation doit impliquer le public au sens large ou seulement le 'public concerné' constitue un point important, et il a été relevé par certains des députés qui m'ont précédé.	[député,relever,question]
Enfin, nous devons rester concentrés sur la lutte contre la crise économique. Les ressources d'énergie renouvelable dont ces pays disposent sont essentielles pour leur développement économique et social et leur permettent de progresser vers un statut d'indépendance énergétique, contribuant ainsi à la lutte contre la crise mondiale.	[nous,lutter,contre crise]
C'est la raison pour laquelle le deuxième amendement aborde toute la problématique des bouchons mal replacés et parfois, de l'absence pure et simple de bouchon.	[le deuxième amendement,aborder,problématique]
"Un exemple concret de la coopération entre les services de la Commission est le "" Guide pratique des possibilités de financement de l'UE de la recherche et de l'innovation "" publié en 2007, qui a été conçu pour aider les bénéficiaires potentiels à trouver leur voie parmi les trois instruments de financement communautaire et donne aux responsables politiques des conseils sur l'accès coordonné à ces instruments. Ce travail est essentiel pour la création d'un futur État de Palestine et pour trouver une voie vers la solution des deux États."	[Ce travail, trouver,voie]
Nous devons y participer autant que nous le pouvons et en utilisant tous les contacts que nous avons pour trouver une issue , de sorte à pouvoir poursuivre correctement la distribution de l' aide à la suite du tsunami et envisager un avenir pacifique pour tous .	[nous,trouver,issue]
Le timing de l' adoption prévue de ce rapport est très bien choisi car la Commission prépare actuellement la communication à venir sur les programmes spécifiques de mise en uvre du sixième programme-cadre de recherche et de développement technologique , qui se penchera sur les sujets abordés dans le rapport de M. Harbour .	[programme,se pencher,sur sujet]
Ces propositions émanant de représentants du secteur de la pêche sont à l' ordre du jour depuis longtemps et visent à endiguer la crise économique et sociale actuelle , qui est exacerbée par la hausse des prix des carburants.	[propositions,endiguer,crise]
Le second est l' encouragement et la stimulation de l'activité économique et de la vie sociale dans ces centres historiques , dans ces morceaux de vieille ville .	[ ,stimuler, de activité]
J' espère que nous serons bientôt en mesure d' en tirer les conclusions et que nous trouverons le moyen le plus approprié d' empêcher que pareil incident ne se reproduise à l' avenir .	[nous,trouver,moyen]
Cela encouragerait les forces extrémistes et ébranlerait la confiance du monde des affaires , et on n' arriverait à rien de plus qu' vec d' autres moyens .	[cela,ébranler,confiance]
Il convient de se rappeler que l' information publique est importante si nous voulons obtenir la confiance du public , et le pavillon bleu a suscité cette confiance : nous devrions prendre garde à ne pas l'endommager .	[nous,endommager,confiance]
Pour simplifier , davantage d' échanges commerciaux accroissent significativement l' économie d' une nation , par l' augmentation de son PIB .	[nous,accroitre,économie]
Ils me sont chers à moi aussi et je peux donc comprendre pourquoi d'autres idées sont apparues afin de donner forme à ces principes via d' autres mécanismes possibles .	[idée,apparaître, ]
Nous entendons affronter les défis de façon ambitieuse et globale.	[nous,affronter,défi]
Enfin , nous devons rester concentrés sur la lutte contre la crise économique .	[nous,lutter,contre crise]
Pouvons -nous réellement rétablir la confiance et susciter l' enthousiasme parmi les électeurs si nous continuons de mener nos politiques d' une élection nationale à l' autre , en trouvant dans celles-ci une bonne excuse pour ne pas appliquer les politiques communes ?	[nous,trouver,excuse]
Je pense que cette proposition ne doit pas être abandonnée , mais il est évident qu' aucun consensus ne pourra être dégagé dans l' état actuel des choses .	[abandonner,proposition, ]
Je sais que notre commissaire partage elle aussi cet avis sur l' héritage de M. Monti , car elle a tout récemment prononcé un discours à l' université de Bocconi et a tenu des propos très semblables au sujet de la contribution de M.Monti .	[elle,tenir,propos]
Nous devrons veiller à que la directive européenne qui règlera cette question ne contienne pas d' échappatoire et à ce qu' elle soit appliquée correctement dans tous les États membres .	[directive,régler,question]
Permettez -moi , Monsieur le Président , de préciser un autre petit point qui a toutefois son importance dans le contexte d' une proposition de résolution .	[je,préciser,point]
Nous pouvons légiférer contre la discrimination sur le lieu de travail , mais pas contre les pressions liées au cumul d' une vie professionnelle , d' une vie de famille et d' un foyer à gérer .	[une vie, être cumuler, ]
Bon nombre des parties directement concernées , ou de ceux qui ont toutes les données en main , reconnaissent la nécessité réelle d' un dialogue qui porte en même temps sur tous les aspects politiques et économiques , de façon à ce que chaque avancée fasse évoluer un ensemble envers lequel toutes les parties restent engagées .	[un dialogue,porter,sur aspect]
La réunion prévue à Gaza demain entre le président Abbas et le Premier ministre Olmert a malheureusement été annulée , mais , au moins , les dirigeants du G 8 aborderont demain la question du conflit israélo-palestinien , comme nous l' avons fait à l' occasion de la réunion des ministres des affaires étrangères du G 8 .	[le dirigeant,aborder,question]
L' idée d' un sommet spécial consacré au Liban dans le cadre de la Ligue arabe a été émise récemment .	[ ,émettre, dée]
Au lieu de s' ingérer de la sorte , nous devrions aborder les thèmes pour lesquels il est constructif pour les États membres de travailler ensemble en vue de développer des normes communes.	[nous,aborder,thème]
Prions , pleins d' espoir - pour le bien des Américains autant que pour celui du reste du monde - , pour que , très prochainement , M. Bush et ses associés bellicistes soient eux aussi poussé vers la sortie .	[M. Bush et ses associés,être pousser,vers la sortie]
Il existe un lien évident entre l' exercice physique et la santé , au vu des maladies que l' on risque de développer si on ne bouge pas comme il se doit .	[nous,développer,maladie]
Le mouvement sportif cherche l' assistance des institutions européennes pour faire face aux défis posés par les agents .	[, faire face,à défi]
Je suis sûr que les chefs d' État ou de gouvernement , ainsi que les députés ici présents , la considéreront dans l' esprit dans lequel elle est conçue : oui , il s' agit de quelque chose de différent , mais quelque chose qui peut donner l' exemple d' une Europe prenant une direction nouvelle et trouvant de nouvelles manières de collaborer .	[europe,trouver,manière]
Il en va aussi de notre créativité , de notre cohérence , il s' agit de prendre au sérieux les intérêts de nos partenaires et de nous montrer ambitieux s' agissant d' ouvrir notre marché commercial et de nous attaquer à la question de la mobilité .	[nous,s'attaquer,à question]
Plus fondamentalement , le cadre de négociation de titres a subi des bouleversements radicaux qui constituent de nouvelles remises en question pour la législation de l' UE .	[bouleversement,constitue,remise en question]
Rejeter Nice serait source de retard et de confusion .	[Rejeter,être,source de confusion]
Plutôt que d' investir des milliards d' euros dans de nouvelles centrales nucléaires , nous devrions consacrer cet argent au développement des sources d' énergie renouvelable .	[nous,consacrer,argent]
Des événements tels que la crise de l'ESB ou la crise de la dioxine ont encouragé un débat public de plus en plus large sur les circonstances dans lesquelles une mesure de précaution est justifiée et nécessaire .	[crise,encourager,débat]
Je suis tout à fait d' accord avec vous , et je suis sûr qu' avec votre soutien et celui des gouvernements des États membres , la nouvelle Commission sera en mesure de répondre aux défis à venir .	[comission,répondre,à défi]
La deuxième question s' adresse en fait plus largement au Parlement : allons -nous mettre en place un comité de liaison permanent composé de parlementaires et chargé des questions de développement et de coopération afin de présenter à l' Assemblée générale des Nations unies un rapport annuel sur notre coopération ?	[question,s'adresser,au Parlement]
La Croatie a beaucoup progressé ces dernières années , mais il lui reste de nombreux défis à affronter .	[Croatie,affronter,défi]
Nous avons décidé que nous étions satisfaits de la contribution française , mais nous ne pouvons pas clore le dossier , parce que ces promesses , ces éléments de droit , ces propositions de loi , n' ont pas encore été mis en œuvre .	[nous,clore,dossier]
Le Royaume-Uni continuera de déverser des montants de plus en plus importants sur Bruxelles , alors que le seul domaine dans lequel nous recouvrons une partie de ces deniers - très peu , en fait - est justement celui où la Commission envisage des diminutions.	[Le Royaume-Uni,déverser,montant]
Il est temps pour nous de nous assurer que des mesures soient prises ; que les préoccupations de nos concitoyens et des partisans du bien-être des animaux soient apaisées grâce à une interdiction totale des ventes de produits cosmétiques testés sur les animaux et par une interdiction de ces tests .	[ ,apaiser,préoccupation]
C' est pourquoi nous considérons que certaines questions soulevées par la baronne Ludford et certains problèmes soulevés par Mme Boumediene-Thiery - qui sont très importants - doivent être envisagés dans le cadre du règlement sur la protection temporaire et la protection subsidiaire que la Commission prépare activement .	[ ,envisager,question]
Nous avons besoin de quelques jours pour saisir et évaluer la situation à la cour constitutionnelle .	[ ,saisir,situation]
Troisièmement , il convient d' attirer la main- d' œuvre qualifiée des pays tiers , sans pour autant - ainsi que le souligne le groupe de travail - considérer l' immigration comme une solution unique aux futurs problèmes de l' Europe en matière de démographie et d' emploi .	[ ,attirer, main d'oeuvre]
C' est uniquement en libérant l' imagination des gens que nous pourrons faire face aux problèmes majeurs auxquels nous sommes confrontés aujourd'hui , tels que le changement climatique , l' exclusion sociale , le changement démographique et le chômage .	[nous,faire face, à problème]
Cependant , j' examinerai avec mon collègue , M. Liikanen , les inquiétudes concernant les produits pharmaceutiques et cosmétiques manifestées par un grand nombre d' entre vous et je lui demanderai d' y répondre .	[collègue, répondre,à inquiétude]
Aucune nation ne devrait verser l' argent des contribuables dans un système corrompu .	[nation,verser,argent]
En juin dernier , 150 pays ont adopté la stratégie globale proposée par les Nations unies visant à régler le problème mondial de la drogue .	[,régler,problème]
Je voudrais faire quelques commentaires et apporter des réponses et des remarques concernant le débat et les rapports , et je commencerai par la scène internationale .	[je,apporter,remarque et réponse]
Il est évidemment souhaitable que les États membres partagent les informations et les meilleures pratiques en matière de traitement de ces problèmes : certaines sections de ce rapport offrent indubitablement des suggestions utiles.	[traitement,de problème]
Le livre vert sur l' avenir de la politique du RTE-T aborde ces défis et propose des mesures afin de les traiter , et ce tant au stade de la planification de réseau qu' à celui de la mise en œuvre de projet .	[, traiter, défi]
Je suis assez confiante quant à l' incorporation dans le texte final d' amendements clés consacrés , par exemple , aux références aux valeurs centrales de la Communauté - la démocratie , l' État de droit , le respect des droits de l' homme , la protection des intérêts communautaires , des dispositions renforcées en matière d' évaluation et d' élaboration de rapports pour la spécification d' une enveloppe financière indicative pour la période 2007-13 , ou l' ajout de la clause de révision .	[, incorporation,dans texte]
Il est très important de faire face à la question de l' immigration , de gérer les flux migratoires lorsque nous obtenons la compréhension et la coopération des pays d' origine et de transit .	[,faire face,à question]
Cette précision étant faite , je dirai que le groupe du parti populaire européen soutient le rapport Evans .	[, faire, précision]
Parmi ces douze priorités essentielles , avec ma collègue , nous veillerons à ce que le point que vous avez soulevé soit traité de manière satisfaisante et à ce que la Commission ne recommande pas d'entamer les pourparlers d' adhésion avant que les questions , comme celle que vous avez soulevée , ne soient traitées de manière satisfaisante .	[,traiter,point]
L' Union européenne étend à fort juste titre les possibilités d' exportation en faveur des entreprises russes sur les marchés communautaires afin de relancer l' économie russe .	[, relancer,économie]
Ensuite , je voudrais revenir sur les propos tenus par le premier ministre irlandais , M. Bruton , au sujet du rôle du gouvernement dans la génération d' emplois et la relance de l' économie .	[relance, de, économie]
"C' est pourquoi j' estime que les hommes et femmes politiques qui œuvrent à la résolution de ces problèmes de façon responsable et politiquement subtile sont "" cool "" , tout comme ceux et celles qui voteront aujourd'hui pour le rapport de M. Gahler ."	[homme ou femme,œuvrer à la résolution, de problème]
Nous essayons donc d' attirer les professionnels de la santé d' autres pays afin de régler nos propres problèmes.	[nous,attirer,professionnel]
Quelles mesures la Présidence entend -elle prendre en vue de répondre à ce problème ?	[La Présidence,répondre,à problème]
Si l' un des animaux contracte la maladie , pourquoi faut -il abattre tout le troupeau ?	[un animal,contracter,maladie]
Espérons que ce rapport , ainsi que la directive sur l' emploi , permettront de remédier à cette situation .	[directive,remédier,à situation]
Monsieur le Président , en tant que porte-parole du groupe du parti populaire européen , je vais clore ce débat au nom de mon groupe en disant que nous allons appuyer le rapport de M. Barros Moura .	[je,clore,débat]
